open,percentchange,relvolume,symbol,low,price,high,watchers,hourchange,sentiment
450.22,-0.8128,0.472,NOC,445.11,446.3225,452.4,8008,0,-27.27
273.4,0.3247,0.8687,MSFT,272.63,274.6691,281.04,442095,22,2.44
264.25,2.3512,1.4772,NVDA,262.37,268.15,275.89,419766,18,2.32
209.65,-1.7339,0.7114,ENPH,203.75,204.03,211.22,37243,0,-0.05
202.5,-0.089,0.7541,META,201.8,201.98,207.37,511868,2,2.94
199.3,-2.2674,0.7656,TSLA,192.81,193.1,200.66,889104,13,-0.29
159.3,-0.022,0.8119,AAPL,159.02,159.245,162.14,876231,7,2.85
130.56,-2.0299,1.0493,JPM,127.8,127.9,130.655,82271,-1,0.74
127.0,-1.272,0.4759,IBM,124.89,124.96,127.215,51323,0,8.33
114.29,-1.044,0.709,EA,113.55,113.74,115.1,20724,0,25.0
104.27,-0.448,0.9589,GOOGL,103.67,104.45,106.59,159661,3,-5.2
100.45,-0.7802,0.6838,AMZN,99.35,99.825,102.1,586914,0,0.51
95.65,3.0647,1.7151,AMD,95.645,98.87,101.7,456040,7,-2.18
88.91,-1.6784,0.8557,SONY,87.8087,87.87,89.0699,2081,0,0.0
28.48,-0.1933,0.6262,INTC,28.31,28.405,29.12,130861,1,-2.98
10.15,6.7465,1.7447,CVNA,8.46,8.465,10.25,23490,3,9.07
5.79,0.2693,1.5343,SOFI,5.57,5.585,6.03,91658,9,2.19
4.73,-0.0726,0.8045,AMC,4.3901,4.4068,4.73,411916,-4,4.3
