high,price,symbol,open,relvolume,low,percentchange,watchers,hourchange,sentiment
10.8485,9.76,CVNA,9.79,0.7987,9.6,4.8335,23334,0,13.41
5.63,5.43,AMC,5.45,0.9069,5.25,3.626,413160,0,4.55
285.87,282.83,MSFT,285.75,0.7591,281.64,-2.2668,443222,0,-2.0
199.04,196.88,ENPH,195.9,0.3554,193.14,0.5516,37408,0,-0.29
131.1,130.42,IBM,130.58,0.4743,130.18,-0.4655,51365,0,-0.83
89.48,88.91,SONY,89.24,0.5067,88.83,0.4519,2089,0,0.0
33.11,32.35,INTC,32.66,0.4705,32.32,-0.5228,131221,0,-9.79
106.73,105.35,GOOGL,106.55,0.583,104.68,-1.0241,160315,0,-0.21
96.065,94.03,AMD,96.06,0.7947,92.7,-1.5186,456717,3,2.99
6.02,5.97,SOFI,5.91,0.662,5.86,1.0152,91912,-2,2.29
277.89,271.69,NVDA,277.235,0.5674,271.26,-1.4866,421363,5,1.17
189.19,186.79,TSLA,186.69,0.6665,185.65,1.2357,891121,-1,0.49
216.02,213.85,META,215.48,0.4677,213.43,-0.4191,512720,4,-2.05
162.36,160.8,AAPL,162.35,0.6091,160.51,-0.7591,877585,7,-4.09
100.99,99.92,AMZN,100.8,0.8239,99.01,-2.2022,588166,5,-5.82
476.01,468.27,NOC,476.12,0.5013,467.525,-1.7354,8039,0,13.33
128.935,128.52,JPM,128.3,0.6398,127.54,0.4926,82601,-1,1.62
126.25,125.68,EA,125.13,0.4521,124.74,0.0478,20704,0,-13.64
