price,low,percentchange,high,symbol,relvolume,open,watchers,hourchange,sentiment
224.27,222.3,-1.5798,228.49,ENPH,0.5032,225.06,37475,-1,-0.26
167.63,165.54,0.6968,168.16,AAPL,0.6395,165.8,878179,3,4.2
31.15,31.0828,-2.1363,31.52,INTC,0.4343,31.1,131281,2,0.0
5.1,4.92,0.9901,5.17,AMC,0.3154,4.95,413181,-2,-1.52
279.31,272.32,0.9542,280.0,NVDA,0.6812,273.61,421918,0,2.9
104.3,101.39,1.955,105.12,AMZN,0.8364,101.58,588745,9,2.6
477.07,476.2,-0.5006,482.7909,NOC,0.4242,480.46,8043,0,6.06
89.94,88.22,0.1782,90.54,AMD,0.5543,88.51,456896,-3,0.9
104.18,103.07,-0.3062,104.98,GOOGL,0.4564,103.58,160558,2,-0.17
126.32,125.3,-1.1426,126.98,IBM,0.9493,126.5,51409,4,1.48
215.7,212.94,-1.0051,217.33,META,0.4728,213.472,512956,-3,3.28
141.22,140.4,-0.1273,141.5,JPM,0.5763,141.23,82989,0,-0.68
8.63,8.295,-1.9318,8.8426,CVNA,0.2952,8.6,23284,-1,-4.39
128.18,128.075,-0.6665,128.9,EA,0.3668,128.58,20705,1,10.0
288.45,284.54,0.0277,289.05,MSFT,0.4744,285.99,443647,3,5.34
90.97,90.73,-0.3724,91.12,SONY,0.5063,91.0,2087,1,0.0
180.59,177.65,-2.0183,183.5,TSLA,0.6315,179.1,891999,25,0.78
6.08,5.87,1.6722,6.1,SOFI,0.4953,5.9,91963,16,0.91
