relvolume,price,high,percentchange,symbol,open,low,watchers,hourchange,sentiment
0.4744,288.45,289.05,0.0277,MSFT,285.99,284.54,443656,3,5.43
0.5032,224.27,228.49,-1.5798,ENPH,225.06,222.3,37472,0,-0.52
0.6315,180.59,183.5,-2.0183,TSLA,179.1,177.65,892141,32,-3.55
0.4953,6.08,6.1,1.6722,SOFI,5.9,5.87,91959,-13,1.61
0.4343,31.15,31.52,-2.1363,INTC,31.1,31.0828,131281,0,1.35
0.2952,8.63,8.84,-1.9318,CVNA,8.6,8.3,23281,-1,-1.68
0.5063,90.97,91.12,-0.3724,SONY,91.0,90.73,2089,0,0.0
0.3154,5.1,5.17,0.9901,AMC,4.95,4.92,413188,-4,-0.7
0.6395,167.63,168.16,0.6968,AAPL,165.8,165.54,878196,0,5.92
0.6812,279.31,280.0,0.9542,NVDA,273.61,272.32,421925,4,5.3
0.4242,477.07,482.74,-0.5006,NOC,480.46,476.24,8043,0,3.33
0.8364,104.3,105.12,1.955,AMZN,101.58,101.39,588753,-2,2.4
0.5543,89.94,90.54,0.1782,AMD,88.51,88.22,456904,0,0.62
0.4564,104.18,104.98,-0.3062,GOOGL,103.58,103.07,160563,6,-0.15
0.9493,126.32,126.98,-1.1426,IBM,126.5,125.3,51449,6,-3.23
0.4728,215.7,217.33,-1.0051,META,213.472,212.94,512953,1,3.26
0.3668,128.18,128.9,-0.6665,EA,128.58,128.075,20704,0,10.0
0.5763,141.22,141.5,-0.1273,JPM,141.23,140.41,82986,1,0.73
