price,symbol,high,relvolume,percentchange,low,open,watchers,hourchange,sentiment
103.95,AMZN,104.2,0.6103,1.5038,102.11,102.75,587805,-9,1.69
274.53,NVDA,280.0,0.686,-1.8309,273.08,279.66,420963,5,0.05
104.72,GOOGL,105.58,0.5141,0.345,104.04,104.33,160055,2,3.16
3.91,AMC,4.45,2.4701,-23.4834,3.88,4.08,412856,-4,-4.15
468.1,NOC,471.94,0.3915,-0.2323,465.0,468.73,8035,-1,0.0
125.24,EA,125.47,1.0756,3.2056,121.23,121.43,20708,0,0.0
214.72,META,216.24,0.5769,0.7744,212.54,213.39,512522,3,3.71
9.5,CVNA,9.72,0.3434,2.2605,8.93,9.44,23341,-2,-1.63
192.58,TSLA,198.7446,0.711,-1.1244,190.32,197.32,890514,2,0.31
95.87,AMD,97.27,0.6455,-0.7146,95.21,97.038,456549,2,-2.1
131.6,IBM,132.1499,0.5043,-0.3483,130.89,131.99,51357,0,0.0
91.01,SONY,91.145,0.9783,-0.3504,90.36,90.78,2087,0,0.0
202.54,ENPH,203.2,0.4624,-0.0296,198.65,202.89,37367,0,0.88
5.89,SOFI,6.095,0.4678,-2.3217,5.835,6.1,91865,2,-0.6
33.1,INTC,33.84,1.059,0.6385,32.85,32.85,131191,1,3.11
128.42,JPM,130.59,0.702,-1.3368,127.41,130.5,82528,2,8.1
165.63,AAPL,166.83,0.5431,-0.325,165.11,166.595,877188,9,0.62
287.18,MSFT,290.4499,0.6652,-0.0174,285.67,287.23,442895,0,-0.81
