percentchange,open,symbol,high,price,relvolume,low,watchers,hourchange,sentiment
0.1328,96.34,AMD,98.36,98.01,0.8317,95.27,456389,-1,4.13
1.5644,162.44,AAPL,165.0,164.9,0.7363,162.13,876839,-5,5.02
6.2372,197.53,TSLA,207.79,207.46,0.9318,197.23,889876,0,8.1
10.872,8.9,CVNA,9.79,9.79,0.475,8.77,23370,0,6.67
1.4962,283.73,MSFT,288.81,288.3,0.7248,283.03,442662,-1,2.47
1.1335,119.38,EA,120.53,120.45,0.6957,118.985,20709,0,0.0
1.2117,129.66,JPM,130.34,130.31,0.7219,128.8514,82481,0,-2.02
2.8149,101.3,GOOGL,103.89,103.73,0.6778,101.05,159926,0,2.56
1.2647,102.16,AMZN,103.42,103.29,0.6381,101.95,587492,6,2.98
1.5004,89.77,SONY,90.92,90.65,1.4706,89.75,2084,0,0.0
1.4388,271.4,NVDA,278.34,277.77,0.7758,271.05,420626,-7,4.4
2.4407,206.02,ENPH,212.12,210.28,0.544,205.81,37336,0,0.75
0.1605,462.98,NOC,463.32,461.72,0.4159,459.45,8029,1,0.0
1.4471,129.47,IBM,131.23,131.09,0.5809,129.42,51344,-2,2.22
0.8048,4.91,AMC,5.055,5.01,0.4763,4.87,412469,-2,0.14
6.1189,5.75,SOFI,6.17,6.07,1.0566,5.67,91782,-1,1.46
1.9727,207.24,META,212.17,211.94,0.653,206.77,512333,0,4.36
1.8074,31.8,INTC,32.8998,32.67,1.0575,31.74,131089,-2,0.68
