percentchange,open,low,price,high,relvolume,symbol,watchers,hourchange,sentiment
0.7505,166.1,165.65,166.47,167.41,0.6295,AAPL,878090,9,3.5
-1.3872,106.49,104.07,104.5,106.515,0.5757,GOOGL,160551,0,-2.52
-1.4596,187.15,183.5887,184.31,187.69,0.5393,TSLA,891795,4,-0.7
-2.8698,9.22,8.76,8.8,9.285,0.2683,CVNA,23300,0,-3.54
-0.4432,219.91,216.215,217.89,220.44,0.3488,META,512946,0,0.79
1.1228,140.27,139.03,141.4,141.78,0.8356,JPM,82988,-1,-0.29
-0.1489,291.57,287.02,288.37,291.6,0.5165,MSFT,443622,4,3.1
0.7495,128.81,127.82,129.04,129.38,0.5166,EA,20704,0,0.0
0.9857,475.74,475.74,479.47,483.4,0.6483,NOC,8043,0,-8.33
1.3116,225.43,222.23,227.87,231.31,0.8254,ENPH,37486,0,-1.82
-0.4283,103.95,101.52,102.3,104.2,0.555,AMZN,588653,3,1.28
-0.0313,128.14,127.35,127.78,128.68,0.4769,IBM,51381,0,-1.19
0.3356,6.0,5.895,5.98,6.02,0.4567,SOFI,91917,-2,-0.76
0.1755,91.57,90.99,91.31,91.86,0.8545,SONY,2086,0,0.0
-0.1001,91.61,89.33,89.78,92.16,0.6994,AMD,456871,1,2.47
-0.9645,32.43,31.785,31.83,32.46,0.4755,INTC,131276,4,0.85
-2.8846,5.23,4.98,5.05,5.212,0.3403,AMC,413184,-4,-2.26
2.4628,275.335,273.57,276.67,281.0802,1.1798,NVDA,421850,3,-0.06
