relvolume,open,high,symbol,price,percentchange,low,watchers,hourchange,sentiment
0.3681,467.22,473.535,NOC,473.465,1.1461,467.85,8036,-1,0.0
0.4938,285.85,287.145,MSFT,284.0,-1.1073,282.95,442940,5,-3.89
0.8312,268.29,269.98,NVDA,266.4199,-2.9542,263.95,421035,3,-4.44
0.4652,214.15,215.19,META,211.32,-1.5835,209.95,512550,5,-2.7
0.7296,200.0,201.62,ENPH,192.125,-5.1422,187.73,37375,3,-0.25
0.6616,190.515,190.68,TSLA,185.205,-3.8296,183.76,890592,10,-1.42
0.5592,164.74,165.05,AAPL,163.103,-1.5257,161.8,877243,0,-7.02
0.3151,131.37,132.61,IBM,132.0973,0.3779,131.47,51358,0,0.0
0.5046,126.8,128.14,JPM,127.57,0.1177,126.46,82526,4,5.76
0.5052,125.24,126.245,EA,125.57,0.2635,124.85,20706,0,8.33
0.5232,105.78,106.1,GOOGL,104.13,-0.5634,103.66,160111,3,0.52
0.4894,103.91,103.91,AMZN,101.1001,-2.7416,100.7506,587859,5,0.63
0.6617,94.35,94.5,AMD,92.245,-3.7812,91.36,456572,1,-2.88
0.5634,89.9,90.02,SONY,89.68,-1.4614,89.53,2087,0,0.0
0.5762,32.795,32.985,INTC,32.735,-1.1027,32.335,131187,-3,0.24
0.2739,9.38,9.38,CVNA,8.4301,-11.2621,8.3901,23332,-4,-1.8
0.6773,5.87,5.87,SOFI,5.695,-3.3107,5.5801,91868,0,0.36
0.6055,4.07,4.09,AMC,3.995,2.1739,3.94,412889,-6,-2.65
