price,relvolume,high,percentchange,open,low,symbol,watchers,hourchange,sentiment
476.1,0.3127,478.12,1.2139,470.98,471.57,NOC,8041,-1,-8.33
288.6458,0.5245,289.208,-1.0131,289.208,284.72,MSFT,443153,5,-1.03
274.85,0.609,275.9,1.657,268.23,266.69,NVDA,421301,10,1.54
214.9,0.3748,215.32,-0.5553,214.71,210.66,META,512688,2,-1.05
194.3683,0.3245,194.87,1.7635,189.09,188.51,ENPH,37403,0,-1.46
184.3201,0.7237,185.09,-0.3998,179.94,176.11,TSLA,891035,15,-1.29
161.525,0.5299,161.86,-1.9039,162.43,160.08,AAPL,877511,14,-2.28
130.66,0.2717,131.02,0.1226,129.83,129.24,IBM,51367,0,-0.93
127.675,0.4366,128.22,0.1608,126.54,126.22,JPM,82588,5,-2.19
125.565,0.2563,125.75,0.3236,124.79,123.74,EA,20704,0,8.08
106.295,0.5135,107.59,-1.96,106.98,105.12,GOOGL,160288,7,-0.26
101.66,0.4286,102.02,-0.3919,100.96,99.57,AMZN,588079,10,-0.49
95.47,0.6522,95.79,3.2443,91.32,91.02,AMD,456689,7,5.97
88.18,0.2835,88.22,0.0113,87.76,87.73,SONY,2087,0,0.0
32.4768,0.3758,32.76,-1.0155,32.6,32.2,INTC,131220,0,0.83
9.155,0.2682,9.35,1.6093,9.0,8.63,CVNA,23319,-4,1.19
5.86,0.4158,5.86,1.913,5.69,5.66,SOFI,91903,1,0.35
5.225,1.0811,5.37,6.6327,4.77,4.74,AMC,413141,1,0.56
