symbol,low,open,high,relvolume,percentchange,price,watchers,hourchange,sentiment
NOC,455.23,459.09,459.96,0.2434,0.715,458.505,8013,0,0.0
MSFT,275.52,280.5,281.4589,0.5282,-1.415,276.6,442425,5,0.38
NVDA,263.6501,268.37,269.94,0.549,-0.6199,266.13,420365,2,-1.03
META,201.37,204.81,205.86,0.3843,-1.381,203.165,512182,6,-0.28
ENPH,191.61,199.36,200.21,0.459,0.3112,196.6,37293,0,0.27
TSLA,189.94,194.415,197.39,0.5331,1.2814,192.85,889468,5,-0.37
AAPL,157.87,159.94,160.77,0.4611,-1.0047,158.64,876585,0,0.28
IBM,126.47,126.47,130.04,0.7055,3.7673,130.01,51335,0,2.27
JPM,126.29,126.79,129.12,0.9338,3.2784,129.005,82429,5,-3.66
EA,118.14,118.9,119.4,0.3687,0.1428,119.2,20718,0,0.0
GOOGL,101.9273,104.615,104.76,0.5014,-2.3141,103.0,159784,1,-0.41
AMZN,97.08,99.07,99.335,0.4555,0.1222,98.2499,587193,-1,-0.93
AMD,95.425,98.02,98.93,0.6998,-0.9175,97.0513,456271,5,-1.6
SONY,86.33,87.12,87.38,0.7936,-0.8683,86.77,2081,0,0.0
INTC,29.08,29.37,29.73,0.4556,0.6131,29.54,130888,0,1.01
CVNA,7.57,8.35,8.3686,0.21,-5.8608,7.71,23422,-4,-0.56
SOFI,5.73,5.82,5.88,0.4314,1.5679,5.83,91735,2,0.02
AMC,4.3,4.51,4.5,0.3323,-0.5817,4.444,411968,-2,-0.2
