open,relvolume,symbol,percentchange,low,high,price,watchers,hourchange,sentiment
89.77,1.4706,SONY,1.5004,89.75,90.92,90.65,2084,0,0.0
271.4,0.7758,NVDA,1.4388,271.05,278.34,277.77,420627,1,4.48
206.02,0.544,ENPH,2.4407,205.81,212.12,210.28,37335,-1,0.71
129.47,0.5809,IBM,1.4471,129.42,131.23,131.09,51344,0,2.22
462.98,0.4159,NOC,0.1605,459.45,463.32,461.72,8029,0,0.0
4.91,0.4763,AMC,0.8048,4.87,5.055,5.01,412472,3,0.11
5.75,1.0566,SOFI,6.1189,5.67,6.17,6.07,91781,-1,1.89
207.24,0.653,META,1.9727,206.77,212.17,211.94,512333,0,4.06
31.8,1.0575,INTC,1.8074,31.74,32.8998,32.67,131091,2,0.48
96.34,0.8317,AMD,0.1328,95.27,98.36,98.01,456388,-1,3.83
162.44,0.7363,AAPL,1.5644,162.13,165.0,164.9,876839,0,4.95
197.53,0.9318,TSLA,6.2372,197.23,207.79,207.46,889882,6,8.14
8.9,0.475,CVNA,10.872,8.77,9.79,9.79,23371,1,6.73
283.73,0.7248,MSFT,1.4962,283.03,288.81,288.3,442662,0,2.36
119.38,0.6957,EA,1.1335,118.985,120.53,120.45,20709,0,0.0
129.66,0.7219,JPM,1.2117,128.8514,130.34,130.31,82481,0,-2.7
101.3,0.6778,GOOGL,2.8149,101.05,103.89,103.73,159925,-1,2.66
102.16,0.6381,AMZN,1.2647,101.95,103.42,103.29,587497,5,3.18
