high,relvolume,price,percentchange,low,symbol,open,watchers,hourchange,sentiment
281.1398,0.5914,280.51,1.9184,278.41,MSFT,278.96,442530,0,-1.71
130.348,0.4977,129.71,0.2861,129.18,IBM,130.12,51343,-1,0.76
161.04,0.6109,160.77,1.9791,159.35,AAPL,159.37,876718,11,-0.3
205.72,0.5083,205.35,2.3271,202.54,META,203.56,512243,1,0.12
100.4218,0.6207,100.25,3.0954,98.5801,AMZN,98.69,587352,2,1.22
462.58,0.4154,461.57,0.5599,457.495,NOC,459.38,8021,0,25.0
130.22,0.9598,129.14,0.2017,127.77,JPM,130.1,82460,1,-0.93
102.43,0.6183,101.39,0.3563,100.655,GOOGL,102.28,159836,0,4.31
270.77,0.7093,269.84,2.1734,265.97,NVDA,268.25,420470,0,-1.37
5.2084,0.765,5.0,-2.9126,4.83,AMC,5.14,412480,-5,-0.59
5.9199,0.7071,5.75,2.8623,5.65,SOFI,5.69,91762,2,-1.08
205.77,0.7832,203.95,5.3896,191.385,ENPH,196.75,37308,1,-0.62
88.02,1.1442,87.87,2.3887,86.74,SONY,86.93,2084,0,0.0
96.91,0.8339,96.09,1.618,94.87,AMD,96.07,456332,0,-0.21
31.89,1.6683,31.52,7.6135,29.789,INTC,29.77,130911,8,7.05
195.28,0.674,193.88,2.479,189.44,TSLA,193.13,889638,9,0.48
7.9,0.2295,7.87,6.9293,7.37,CVNA,7.47,23365,1,-7.63
119.325,0.4098,119.19,0.9914,118.08,EA,118.08,20708,-1,0.0
