high,symbol,open,relvolume,price,low,percentchange,watchers,hourchange,sentiment
474.7299,NOC,467.43,0.2944,472.13,466.03,0.8243,8038,-1,0.0
287.01,MSFT,284.79,0.5502,284.72,281.96,0.6682,443288,5,-1.4
274.63,NVDA,273.7,0.6741,266.94,265.17,-1.7483,421415,3,4.54
216.84,META,214.835,0.4331,214.64,212.584,0.3694,512748,-4,-1.46
201.26,ENPH,199.9,0.3315,198.06,196.78,0.5993,37404,0,1.84
191.58,TSLA,190.74,0.7167,181.4,181.111,-2.8856,891202,-3,0.82
162.06,AAPL,161.22,0.4832,160.58,160.265,-0.1368,877675,0,1.49
130.87,IBM,130.4,0.3843,128.9,128.87,-1.1655,51367,-2,-1.59
130.43,JPM,129.18,0.4956,128.7899,128.0603,0.21,82616,-5,4.11
127.1812,EA,126.28,0.2582,126.57,125.82,0.7081,20701,-1,-29.17
106.75,GOOGL,106.58,0.3809,104.4257,104.34,-0.8774,160344,0,-0.37
100.51,AMZN,100.4,0.5997,98.3895,98.28,-1.5317,588243,0,-2.57
94.995,AMD,94.97,0.6765,92.7,91.74,-1.4144,456742,1,5.31
90.4,SONY,90.0,0.2984,89.66,89.37,0.8435,2089,0,0.0
32.89,INTC,32.77,0.4046,32.09,31.96,-0.8037,131237,0,-3.12
10.32,CVNA,9.79,0.5107,9.28,8.79,-4.918,23331,0,7.45
6.05,SOFI,6.06,0.8044,5.8403,5.67,-2.1725,91920,2,1.13
5.74,AMC,5.62,0.6,5.6437,5.51,3.9355,413215,8,1.13
