open,price,percentchange,relvolume,high,low,symbol,watchers,hourchange,sentiment
278.26,279.43,1.1694,1.7577,283.33,276.3201,MSFT,441736,7,-1.31
128.38,125.81,-3.7782,2.2173,128.48,125.45,JPM,82032,5,4.47
4.3,4.18,-4.7836,0.6185,4.34,4.1078,AMC,411730,-3,0.05
200.56,195.61,-4.5479,1.116,201.9,195.4304,META,511607,3,-0.68
5.47,5.46,0.1835,0.6642,5.54,5.33,SOFI,91547,3,5.25
113.65,113.35,-0.1585,0.7406,114.0,112.98,EA,20735,-1,-25.0
449.81,443.6,-1.4551,0.8804,450.16,441.305,NOC,7997,0,3.41
99.79,98.95,-1.0896,0.8764,100.65,97.455,AMZN,586543,2,2.66
100.26,101.62,1.2959,1.2376,102.835,100.1,GOOGL,159514,6,2.07
29.92,29.81,-1.226,1.0943,30.56,29.44,INTC,130791,1,-3.77
200.7,183.64,-8.6822,1.684,200.7,181.55,ENPH,37109,14,-3.31
156.08,155.0,-0.5454,0.9896,156.74,154.28,AAPL,875799,8,4.9
87.25,86.52,0.1505,1.0052,87.47,86.18,SONY,2077,0,33.33
259.82,257.25,0.7204,1.3828,263.99,256.68,NVDA,419179,7,2.88
7.21,7.65,3.2389,0.4207,7.9,7.02,CVNA,23308,1,1.08
124.08,123.69,-0.8099,2.0994,124.52,122.93,IBM,51322,0,1.4
184.515,180.13,-2.1724,0.6722,186.21,177.33,TSLA,888621,6,2.24
96.66,97.84,1.2836,1.4973,98.75,95.94,AMD,455820,6,0.63
