symbol,relvolume,price,high,low,percentchange,open,watchers,hourchange,sentiment
NOC,0.5359,441.86,451.41,441.49,-1.8416,449.81,7996,0,1.39
MSFT,1.397,280.0,283.33,276.3201,1.3758,278.26,441705,8,3.05
NVDA,1.0971,259.2792,263.99,256.68,1.5149,259.82,419148,7,5.95
META,0.7422,197.84,201.9,197.6,-3.4597,200.56,511589,-8,2.04
ENPH,1.2594,183.06,200.7,181.55,-8.9707,200.7,37055,27,-3.1
TSLA,0.5305,179.6964,186.21,177.33,-2.4079,184.515,888603,1,3.89
AAPL,0.7656,155.46,156.74,154.28,-0.2502,156.08,875774,2,5.73
JPM,1.5004,126.12,128.45,125.66,-3.5411,128.38,82015,4,6.08
IBM,1.1619,123.4,124.2,122.935,-1.0425,124.08,51323,1,7.41
EA,0.5142,113.315,114.0,113.015,-0.1894,113.65,20736,0,0.0
GOOGL,0.9673,101.5624,102.835,100.1,1.2384,100.26,159496,3,2.61
AMZN,0.6923,99.035,100.65,97.455,-1.0046,99.79,586525,-9,2.72
AMD,1.1457,97.2,98.75,95.94,0.6211,96.66,455805,-4,3.2
SONY,0.6159,86.715,87.445,86.19,0.3762,87.25,2077,0,33.33
INTC,0.7422,29.755,30.56,29.44,-1.4082,29.92,130791,2,0.65
CVNA,0.319,7.785,7.9,7.02,5.0607,7.21,23301,1,2.23
SOFI,0.4091,5.435,5.5,5.33,-0.2752,5.47,91541,-5,2.63
AMC,0.4166,4.295,4.34,4.108,-2.164,4.3,411729,-6,0.3
