low,high,symbol,price,relvolume,open,percentchange,watchers,hourchange,sentiment
281.64,285.87,MSFT,282.83,0.7591,285.75,-2.2668,443228,6,-2.0
5.25,5.63,AMC,5.43,0.9069,5.45,3.626,413162,2,4.6
193.14,199.04,ENPH,196.88,0.3554,195.9,0.5516,37408,0,-0.55
130.18,131.105,IBM,130.42,0.4743,130.58,-0.4655,51365,0,-0.43
88.83,89.49,SONY,88.91,0.5067,89.24,0.4519,2089,0,0.0
104.68,106.73,GOOGL,105.35,0.583,106.55,-1.0241,160321,6,-0.26
92.7,96.065,AMD,94.03,0.7947,96.06,-1.5186,456721,4,3.18
32.32,33.11,INTC,32.35,0.4705,32.66,-0.5228,131220,-1,-9.79
5.86,6.02,SOFI,5.97,0.662,5.91,1.0152,91911,-1,2.72
271.26,277.89,NVDA,271.69,0.5674,277.235,-1.4866,421370,7,1.17
185.65,189.19,TSLA,186.79,0.6665,186.69,1.2357,891135,14,0.49
213.43,216.02,META,213.85,0.4677,215.48,-0.4191,512721,1,-3.01
160.51,162.36,AAPL,160.8,0.6091,162.35,-0.7591,877596,11,-3.9
99.01,100.99,AMZN,99.92,0.8239,100.8,-2.2022,588171,5,-5.7
467.525,476.12,NOC,468.27,0.5013,476.12,-1.7354,8038,-1,13.33
127.54,128.94,JPM,128.52,0.6398,128.3,0.4926,82601,0,1.62
124.74,126.25,EA,125.68,0.4521,125.13,0.0478,20704,0,-13.64
9.6,10.85,CVNA,9.76,0.7987,9.79,4.8335,23334,0,12.36
