open,high,symbol,percentchange,price,relvolume,low,watchers,hourchange,sentiment
89.77,90.92,SONY,1.5004,90.65,1.4706,89.75,2084,0,0.0
271.4,278.34,NVDA,1.4388,277.77,0.7758,271.05,420629,2,4.42
206.02,212.12,ENPH,2.4407,210.28,0.544,205.81,37334,-1,0.66
129.47,131.23,IBM,1.4471,131.09,0.5809,129.42,51344,0,2.22
462.98,463.32,NOC,0.1605,461.72,0.4159,459.45,8029,0,0.0
4.91,5.055,AMC,0.8048,5.01,0.4763,4.87,412474,2,0.13
5.75,6.17,SOFI,6.1189,6.07,1.0566,5.67,91786,5,1.92
207.24,212.17,META,1.9727,211.94,0.653,206.77,512334,1,4.07
31.8,32.8998,INTC,1.8074,32.67,1.0575,31.74,131091,0,0.77
96.34,98.36,AMD,0.1328,98.01,0.8317,95.27,456389,1,3.61
162.44,165.0,AAPL,1.5644,164.9,0.7363,162.13,876840,1,4.9
197.53,207.79,TSLA,6.2372,207.46,0.9318,197.23,889885,3,8.25
8.9,9.79,CVNA,10.872,9.79,0.475,8.77,23371,0,6.68
283.73,288.81,MSFT,1.4962,288.3,0.7248,283.03,442664,2,2.16
119.38,120.53,EA,1.1335,120.45,0.6957,118.985,20709,0,0.0
129.66,130.34,JPM,1.2117,130.31,0.7219,128.8514,82481,0,-2.92
101.3,103.89,GOOGL,2.8149,103.73,0.6778,101.05,159929,4,2.16
102.16,103.42,AMZN,1.2647,103.29,0.6381,101.95,587497,0,3.51
