low,open,percentchange,price,high,relvolume,symbol,watchers,hourchange,sentiment
441.305,449.81,-1.8105,442.0,451.41,0.6984,NOC,7996,0,1.11
276.3201,278.26,0.6408,277.97,283.33,1.6275,MSFT,441723,11,1.96
256.68,259.82,1.7854,259.97,263.99,1.2748,NVDA,419169,13,4.37
195.92,200.56,-3.4695,197.82,201.9,0.9847,META,511604,16,-0.47
181.55,200.7,-8.8911,183.22,200.7,1.5275,ENPH,37086,14,-4.65
177.33,184.515,-2.4439,179.63,186.21,0.6328,TSLA,888605,-1,2.68
154.28,156.08,-0.539,155.01,156.74,0.9127,AAPL,875776,0,6.18
125.46,128.38,-3.6099,126.03,128.45,1.9111,JPM,82027,7,4.98
122.935,124.08,-0.6335,123.91,124.2,1.4754,IBM,51322,-1,6.08
112.98,113.65,-0.1806,113.325,114.0,0.6158,EA,20736,0,0.0
100.1,100.26,0.9769,101.3,102.835,1.1268,GOOGL,159500,1,2.5
97.455,99.79,-1.3095,98.73,100.65,0.8062,AMZN,586534,3,2.44
95.94,96.66,1.4079,97.96,98.75,1.3815,AMD,455814,5,2.04
86.19,87.25,0.2547,86.61,87.445,0.8198,SONY,2077,0,33.33
29.44,29.92,-1.7064,29.665,30.56,0.9009,INTC,130791,0,-1.62
7.02,7.21,3.0364,7.635,7.9,0.3831,CVNA,23307,-2,0.72
5.33,5.47,0.9174,5.5,5.54,0.5448,SOFI,91541,1,5.24
4.108,4.3,-4.4419,4.195,4.34,0.5536,AMC,411726,-1,0.19
