low,relvolume,open,percentchange,price,symbol,high,watchers,hourchange,sentiment
264.36,0.5878,265.655,0.9119,270.02,NVDA,270.06,421731,3,-1.49
5.81,0.6655,5.89,0.6757,5.96,SOFI,6.0,91919,7,0.1
137.66,1.0164,139.95,0.7929,139.83,JPM,140.06,82973,2,0.7
88.3,0.7217,90.23,-2.049,89.87,AMD,90.69,456847,3,-2.66
8.68,0.273,8.91,1.0033,9.06,CVNA,9.2192,23310,-4,-1.46
164.03,0.5412,165.09,0.0121,165.23,AAPL,165.39,878000,-2,2.07
217.13,0.4402,219.79,-1.1874,218.86,META,220.979,512920,20,0.43
5.1301,0.3666,5.24,1.5625,5.2,AMC,5.3,413206,-2,-1.09
104.52,0.816,104.658,-2.6637,105.97,GOOGL,106.155,160520,6,-12.33
126.8,0.5124,128.3,-0.2497,127.82,IBM,128.72,51378,0,-4.47
182.7,0.6825,186.32,1.1027,187.04,TSLA,189.69,891654,9,0.22
31.77,0.5168,31.95,0.7839,32.14,INTC,32.64,131269,0,3.6
471.38,0.4391,472.99,0.4698,474.79,NOC,477.68,8041,0,8.33
286.2,0.6118,289.93,0.9296,288.8,MSFT,291.58,443546,7,2.75
90.35,0.9083,90.55,0.3192,91.15,SONY,91.23,2088,0,0.0
101.59,0.5299,103.16,0.2244,102.74,AMZN,103.73,588608,5,-0.47
127.14,0.4493,127.37,0.1642,128.08,EA,128.42,20707,0,-10.0
214.7801,1.7249,215.0,7.6687,224.92,ENPH,229.23,37473,6,3.43
