low,symbol,open,percentchange,relvolume,price,high,watchers,hourchange,sentiment
210.66,META,214.71,-0.6247,0.4571,214.75,215.66,512692,1,-1.48
123.74,EA,124.79,0.3675,0.3892,125.62,125.8,20703,0,4.44
32.2,INTC,32.6,-0.8839,0.4854,32.52,32.76,131214,2,-0.55
129.24,IBM,129.83,0.4061,0.3796,131.03,131.08,51363,-1,-1.29
8.62,CVNA,9.0,3.3296,0.3262,9.31,9.35,23316,1,4.22
284.72,MSFT,289.208,-0.7579,0.6369,289.39,289.6,443170,2,-1.35
176.11,TSLA,179.94,-0.2972,0.8207,184.51,185.0994,891057,5,-0.34
99.57,AMZN,100.96,0.1078,0.5167,102.17,102.2,588098,-2,-1.73
188.51,ENPH,189.09,2.5131,0.4136,195.8,195.9,37408,0,-1.95
4.74,AMC,4.77,6.9388,1.2692,5.24,5.37,413138,-1,1.63
470.98,NOC,470.98,1.3074,0.4565,476.54,478.17,8041,0,-16.67
91.02,AMD,91.32,3.2551,0.7903,95.48,95.79,456700,1,8.3
266.69,NVDA,268.23,2.0047,0.7128,275.79,276.2099,421321,5,1.67
5.66,SOFI,5.69,2.7826,0.5343,5.91,5.92,91903,-5,0.65
160.08,AAPL,161.42,-1.5972,0.6369,162.03,162.03,877532,0,-4.78
126.22,JPM,126.54,0.3295,0.5624,127.89,128.23,82597,2,-2.86
105.12,GOOGL,106.98,-1.8262,0.6059,106.44,107.59,160304,2,0.19
87.73,SONY,87.76,0.3856,0.4657,88.51,88.52,2088,0,0.0
