low,price,symbol,high,relvolume,open,percentchange,watchers,hourchange,sentiment
459.9,460.155,NOC,463.4,0.2168,462.98,-0.179,8026,0,0.0
283.03,286.79,MSFT,287.1769,0.5073,283.73,0.9646,442653,11,3.21
271.05,276.3306,NVDA,278.34,0.6083,271.4,0.9132,420625,17,5.53
206.77,210.0154,META,210.54,0.4963,207.24,1.0467,512341,11,6.72
205.81,208.51,ENPH,212.12,0.417,206.02,1.5784,37334,0,-0.22
197.23,206.9784,TSLA,207.4,0.7668,197.53,5.9906,889848,22,8.42
162.13,164.03,AAPL,164.19,0.4561,162.44,1.0286,876824,9,5.37
129.42,130.425,IBM,130.535,0.3069,129.47,0.9325,51346,0,-0.09
128.8514,129.64,JPM,130.01,0.4938,129.66,0.6913,82488,1,-0.83
118.985,119.98,EA,119.985,0.4468,119.38,0.7389,20709,0,-12.5
101.95,102.9,AMZN,103.29,0.4615,102.16,0.8824,587477,9,2.16
101.05,102.825,GOOGL,103.25,0.4505,101.3,1.9179,159928,5,4.67
95.27,97.605,AMD,97.975,0.662,96.34,-0.281,456396,4,3.59
89.79,90.285,SONY,90.88,1.1163,89.77,1.0917,2083,1,0.0
31.74,32.665,INTC,32.8998,0.7704,31.8,1.7918,131091,5,-0.02
8.77,9.4804,CVNA,9.4804,0.3656,8.9,7.3658,23358,0,3.0
5.67,6.05,SOFI,6.17,0.8927,5.75,5.7692,91781,1,0.98
4.87,4.985,AMC,5.055,0.3341,4.91,0.3018,412473,3,-0.05
