price,symbol,relvolume,low,high,percentchange,open,watchers,hourchange,sentiment
29.29,INTC,0.6633,28.63,29.33,0.377,29.075,130892,0,-1.84
101.03,GOOGL,0.707,99.7401,102.4,-1.3957,102.44,159815,-1,-4.31
7.36,CVNA,0.235,7.22,7.72,-3.4121,7.57,23375,-4,-0.44
193.52,ENPH,0.3801,190.624,196.515,-1.1796,196.0,37300,0,-2.8
129.34,IBM,0.4651,128.8,129.66,0.0232,129.18,51346,-1,1.27
157.65,AAPL,0.5555,155.98,158.1277,-0.398,157.97,876660,4,-2.36
275.23,MSFT,0.5713,272.05,276.13,-0.4161,275.79,442493,0,-1.76
94.56,AMD,0.907,92.87,96.93,-2.1219,96.77,456320,0,-0.46
200.68,META,0.535,197.9,201.03,-1.0649,200.15,512233,0,-3.91
128.88,JPM,0.7437,127.75,129.3417,0.3035,128.71,82452,0,-5.83
264.1,NVDA,0.6755,258.5,265.13,-0.4561,264.47,420435,0,-1.25
459.0,NOC,0.3387,457.59,461.5,0.1637,458.31,8021,1,3.57
189.19,TSLA,0.5363,185.43,192.35,-1.3659,192.0,889594,2,-3.15
118.02,EA,0.5197,117.38,118.4425,-0.5226,118.085,20713,0,4.44
85.82,SONY,0.8063,85.74,86.6682,-0.9464,86.11,2082,1,0.0
5.59,SOFI,0.5751,5.51,5.79,-2.9514,5.74,91760,3,-0.33
5.15,AMC,2.4732,4.46,5.5,13.1868,4.51,412384,18,0.8
97.24,AMZN,0.4953,96.29,98.44,-0.816,98.11,587299,1,-0.55
