low,price,high,percentchange,open,symbol,relvolume,watchers,hourchange,sentiment
140.4,141.22,141.5,-0.1273,141.23,JPM,0.5763,82988,-2,-0.16
128.075,128.18,128.9,-0.6665,128.58,EA,0.3668,20704,0,10.0
222.3,224.27,228.49,-1.5798,225.06,ENPH,0.5032,37474,-1,-0.61
5.87,6.08,6.1,1.6722,5.9,SOFI,0.4953,91972,-1,1.26
177.65,180.59,183.5,-2.0183,179.1,TSLA,0.6315,892091,22,-1.52
284.54,288.45,289.05,0.0277,285.99,MSFT,0.4744,443653,-3,6.78
8.295,8.63,8.8426,-1.9318,8.6,CVNA,0.2952,23282,-2,-2.34
90.73,90.97,91.12,-0.3724,91.0,SONY,0.5063,2089,2,0.0
165.54,167.63,168.16,0.6968,165.8,AAPL,0.6395,878191,4,6.18
31.0828,31.15,31.52,-2.1363,31.1,INTC,0.4343,131281,0,1.89
4.92,5.1,5.17,0.9901,4.95,AMC,0.3154,413186,3,-0.99
476.2,477.07,482.7909,-0.5006,480.46,NOC,0.4242,8043,0,6.06
272.32,279.31,280.0,0.9542,273.61,NVDA,0.6812,421921,-2,4.84
101.39,104.3,105.12,1.955,101.58,AMZN,0.8364,588754,3,2.58
88.22,89.94,90.54,0.1782,88.51,AMD,0.5543,456906,0,0.56
103.07,104.18,104.98,-0.3062,103.58,GOOGL,0.4564,160559,0,-0.2
125.3,126.32,126.98,-1.1426,126.5,IBM,0.9493,51443,9,0.13
212.94,215.7,217.33,-1.0051,213.472,META,0.4728,512954,-2,3.39
