relvolume,open,symbol,low,high,percentchange,price,watchers,hourchange,sentiment
0.7301,284.79,MSFT,281.96,287.01,0.2334,283.49,443296,0,-1.71
0.4105,126.28,EA,125.82,127.1812,0.3581,126.13,20703,0,-16.67
0.6508,161.22,AAPL,159.78,162.06,-0.4353,160.1,877688,4,0.58
0.8136,94.97,AMD,91.74,94.995,-1.8079,92.33,456745,-2,5.58
0.827,5.62,AMC,5.34,5.74,-1.6575,5.34,413218,0,0.01
0.5844,9.79,CVNA,8.79,10.32,-5.3279,9.24,23329,0,5.67
0.4882,90.0,SONY,89.29,90.4,0.5961,89.44,2089,0,0.0
0.66,129.18,JPM,128.0603,130.43,-0.0156,128.5,82625,1,-3.21
0.8639,190.74,TSLA,180.31,191.58,-3.346,180.54,891235,8,-0.46
0.5478,214.835,META,212.584,216.84,0.0701,214.0,512769,3,-1.85
0.8408,273.7,NVDA,264.4786,274.63,-2.4808,264.95,421444,0,-0.32
0.7773,100.4,AMZN,97.705,100.51,-2.0917,97.83,588275,2,-0.12
0.4414,199.9,ENPH,195.81,201.26,-0.4317,196.03,37410,0,2.29
0.5099,106.58,GOOGL,104.34,106.75,-0.6739,104.64,160346,2,0.16
0.5877,32.77,INTC,31.96,32.89,-1.0201,32.02,131233,0,-7.09
0.6074,130.4,IBM,128.18,130.87,-1.4415,128.54,51369,0,-2.42
0.4255,467.43,NOC,466.03,474.7299,0.961,472.77,8038,0,3.33
0.9555,6.06,SOFI,5.67,6.05,-2.5126,5.82,91916,0,-0.34
