high,relvolume,percentchange,price,low,open,symbol,watchers,hourchange,sentiment
452.4,0.3313,-0.26,448.81,446.65,450.22,NOC,8008,2,-27.27
279.99,0.6035,1.9066,279.0,272.63,273.4,MSFT,442073,5,3.01
274.5,1.0584,4.5307,273.86,262.37,264.25,NVDA,419748,15,2.51
210.77,0.4841,0.3877,208.435,204.61,209.65,ENPH,37243,2,-0.12
207.37,0.5231,1.6769,205.55,201.84,202.5,META,511866,9,2.95
200.66,0.5418,0.167,197.9099,195.34,199.3,TSLA,889091,6,-0.23
161.52,0.5252,1.2117,161.21,159.118,159.3,AAPL,876224,3,3.58
130.655,0.6935,-0.5774,129.7962,128.84,130.56,JPM,82272,3,1.25
127.215,0.2878,-0.2963,126.195,125.84,127.0,IBM,51323,-1,13.04
114.78,0.542,-0.3219,114.57,113.83,114.29,EA,20724,-2,25.0
106.3,0.6785,0.6672,105.62,103.67,104.27,GOOGL,159658,4,-4.34
101.93,0.449,0.6162,101.23,99.35,100.45,AMZN,586914,8,0.91
100.59,1.242,4.6284,100.37,95.645,95.65,AMD,456033,13,-1.83
88.91,0.6232,-1.0742,88.41,87.8087,88.91,SONY,2081,0,0.0
28.92,0.397,1.1771,28.795,28.31,28.48,INTC,130860,1,-2.07
10.25,1.5723,12.4212,8.915,8.46,10.15,CVNA,23487,7,9.5
6.03,1.1471,3.2118,5.7489,5.66,5.79,SOFI,91649,3,2.97
4.73,0.6638,3.5147,4.565,4.47,4.73,AMC,411920,-3,4.45
