price,symbol,open,high,percentchange,low,relvolume,watchers,hourchange,sentiment
166.47,AAPL,166.1,167.41,0.7505,165.65,0.6295,878098,4,3.87
104.5,GOOGL,106.49,106.515,-1.3872,104.07,0.5757,160554,0,-2.65
184.31,TSLA,187.15,187.69,-1.4596,183.5887,0.5393,891798,4,-0.73
8.8,CVNA,9.22,9.285,-2.8698,8.76,0.2683,23297,1,-4.14
217.89,META,219.91,220.44,-0.4432,216.215,0.3488,512946,-2,1.03
288.37,MSFT,291.57,291.6,-0.1489,287.02,0.5165,443620,1,4.77
141.4,JPM,140.27,141.78,1.1228,139.03,0.8356,82990,1,-0.52
227.87,ENPH,225.43,231.31,1.3116,222.23,0.8254,37486,0,-1.64
479.47,NOC,475.74,483.4,0.9857,475.74,0.6483,8043,0,-11.11
102.3,AMZN,103.95,104.2,-0.4283,101.52,0.555,588663,4,1.28
129.04,EA,128.81,129.38,0.7495,127.82,0.5166,20704,0,0.0
127.78,IBM,128.14,128.68,-0.0313,127.35,0.4769,51378,-1,-0.62
5.98,SOFI,6.0,6.02,0.3356,5.895,0.4567,91919,-1,-0.93
5.05,AMC,5.23,5.212,-2.8846,4.98,0.3403,413181,-3,-1.82
31.83,INTC,32.43,32.46,-0.9645,31.785,0.4755,131278,0,0.54
276.67,NVDA,275.335,281.0802,2.4628,273.57,1.1798,421845,0,-0.04
89.78,AMD,91.61,92.16,-0.1001,89.33,0.6994,456871,2,2.78
91.31,SONY,91.57,91.86,0.1755,90.99,0.8545,2087,0,0.0
