open,price,high,low,relvolume,symbol,percentchange,watchers,hourchange,sentiment
459.09,458.515,459.96,455.23,0.3979,NOC,0.7172,8013,0,2.78
280.5,276.19,281.4589,275.52,0.6882,MSFT,-1.5611,442425,0,0.4
268.37,265.15,269.94,263.6501,0.6791,NVDA,-0.9858,420365,0,-0.86
204.81,202.67,205.86,201.37,0.4942,META,-1.6213,512179,-3,-0.27
199.36,195.725,200.21,191.61,0.5969,ENPH,-0.1352,37293,0,0.25
194.415,191.71,197.39,189.94,0.6504,TSLA,0.6827,889469,1,-0.5
159.94,158.12,160.77,157.87,0.6029,AAPL,-1.3292,876589,4,-0.17
126.47,129.3,130.255,126.47,1.0705,IBM,3.2006,51336,1,2.93
126.79,128.49,129.38,126.29,1.2406,JPM,2.8661,82430,1,-3.69
118.9,118.53,119.4,118.14,0.6373,EA,-0.4201,20717,-1,0.0
104.615,102.39,104.76,101.9273,0.6543,GOOGL,-2.8926,159787,3,-0.63
99.07,98.03,99.335,97.08,0.5885,AMZN,-0.1019,587195,2,-1.0
98.02,96.54,98.93,95.425,0.8904,AMD,-1.4395,456272,1,-1.67
87.12,86.61,87.38,86.33,1.0594,SONY,-1.0511,2080,-1,0.0
29.37,29.165,29.73,29.08,0.6526,INTC,-0.6642,130885,-3,0.25
8.35,7.6279,8.3686,7.57,0.2612,CVNA,-6.8632,23419,-3,-0.54
5.82,5.76,5.88,5.73,0.5937,SOFI,0.3484,91735,0,0.01
4.51,4.575,4.58,4.3,0.5515,AMC,2.349,411966,-2,-0.26
