high,low,percentchange,symbol,price,relvolume,open,watchers,hourchange,sentiment
471.28,462.72,2.0359,NOC,471.12,0.3006,463.3,8030,0,0.0
288.27,283.95,-1.1915,MSFT,284.865,0.4995,286.52,442828,3,-0.87
279.91,273.36,-0.7812,NVDA,275.6,0.5471,275.09,420819,4,0.31
211.74,208.2001,-0.3447,META,211.2095,0.3601,208.84,512444,0,0.2
215.8856,201.6293,-3.4669,ENPH,202.9899,0.6374,213.98,37370,3,1.7
202.6897,192.2,-6.7614,TSLA,193.4328,0.789,199.91,890303,5,-1.72
165.89,164.27,0.0,AAPL,164.9,0.49,164.27,877059,6,0.34
132.61,130.77,0.7705,IBM,132.1,0.3302,130.97,51351,0,2.08
131.43,129.41,-0.0691,JPM,130.22,0.4515,129.91,82510,0,4.02
120.96,119.6,0.3445,EA,120.865,0.3607,120.14,20708,0,0.0
103.79,102.11,-0.6218,GOOGL,103.085,0.3521,102.39,160006,2,1.2
103.29,101.43,-1.5308,AMZN,101.7088,0.4214,102.3,587674,3,1.02
96.79,94.81,-2.5814,AMD,95.48,0.6021,96.695,456500,1,-1.17
91.01,90.455,0.1765,SONY,90.81,0.7176,90.41,2089,0,0.0
33.56,32.54,0.3826,INTC,32.795,0.8389,32.94,131144,0,-0.59
10.16,9.12,-6.2819,CVNA,9.175,0.3953,9.64,23351,-3,0.88
6.275,5.94,-0.4942,SOFI,6.04,0.6448,6.14,91843,1,-1.05
5.145,4.94,1.2974,AMC,5.075,0.3987,4.99,412504,-1,0.19
