price,percentchange,symbol,low,relvolume,high,open,watchers,hourchange,sentiment
104.5,-1.3872,GOOGL,104.07,0.5757,106.515,106.49,160551,3,-2.13
184.31,-1.4596,TSLA,183.5887,0.5393,187.69,187.15,891791,13,-0.64
8.8,-2.8698,CVNA,8.76,0.2683,9.285,9.22,23300,-2,-3.28
217.89,-0.4432,META,216.215,0.3488,220.44,219.91,512946,7,0.39
141.4,1.1228,JPM,139.03,0.8356,141.78,140.27,82989,-2,-0.05
129.04,0.7495,EA,127.82,0.5166,129.38,128.81,20704,0,0.0
288.37,-0.1489,MSFT,287.02,0.5165,291.6,291.57,443618,6,3.46
102.3,-0.4283,AMZN,101.52,0.555,104.2,103.95,588650,1,1.26
479.47,0.9857,NOC,475.74,0.6483,483.4,475.74,8043,0,-8.33
227.87,1.3116,ENPH,222.23,0.8254,231.31,225.43,37486,-1,-1.91
127.78,-0.0313,IBM,127.35,0.4769,128.68,128.14,51381,0,-0.57
5.98,0.3356,SOFI,5.895,0.4567,6.02,6.0,91919,5,-1.03
5.05,-2.8846,AMC,4.98,0.3403,5.212,5.23,413188,2,-2.3
31.83,-0.9645,INTC,31.785,0.4755,32.46,32.43,131272,0,0.5
91.31,0.1755,SONY,90.99,0.8545,91.86,91.57,2086,0,0.0
276.67,2.4628,NVDA,273.57,1.1798,281.0802,275.335,421847,0,0.04
89.78,-0.1001,AMD,89.33,0.6994,92.16,91.61,456870,1,2.46
166.47,0.7505,AAPL,165.65,0.6295,167.41,166.1,878081,-2,3.59
