price,percentchange,relvolume,low,high,open,symbol,watchers,hourchange,sentiment
103.95,1.5038,0.6103,102.11,104.2,102.75,AMZN,587814,6,1.79
274.53,-1.8309,0.686,273.08,280.0,279.66,NVDA,420958,2,0.13
104.72,0.345,0.5141,104.04,105.58,104.33,GOOGL,160053,3,3.54
3.91,-23.4834,2.4701,3.88,4.45,4.08,AMC,412860,12,-4.34
468.1,-0.2323,0.3915,465.0,471.94,468.73,NOC,8036,0,0.0
125.24,3.2056,1.0756,121.23,125.47,121.43,EA,20708,0,0.0
214.72,0.7744,0.5769,212.54,216.24,213.39,META,512519,0,3.72
9.5,2.2605,0.3434,8.93,9.72,9.44,CVNA,23343,2,-2.01
192.58,-1.1244,0.711,190.32,198.7446,197.32,TSLA,890512,6,0.29
95.87,-0.7146,0.6455,95.21,97.27,97.038,AMD,456547,2,-2.3
131.6,-0.3483,0.5043,130.89,132.1499,131.99,IBM,51357,-1,0.0
91.01,-0.3504,0.9783,90.36,91.145,90.78,SONY,2087,0,0.0
202.54,-0.0296,0.4624,198.65,203.2,202.89,ENPH,37367,0,0.81
5.89,-2.3217,0.4678,5.835,6.095,6.1,SOFI,91863,2,-0.48
33.1,0.6385,1.059,32.85,33.84,32.85,INTC,131190,3,2.97
128.42,-1.3368,0.702,127.41,130.59,130.5,JPM,82526,0,8.08
165.63,-0.325,0.5431,165.11,166.83,166.595,AAPL,877179,0,0.86
287.18,-0.0174,0.6652,285.67,290.4499,287.23,MSFT,442895,2,-1.12
