percentchange,symbol,low,high,relvolume,open,price,watchers,hourchange,sentiment
-0.1208,NVDA,263.29,268.869,0.6485,267.34,264.63,421515,3,-2.68
2.2472,AMC,5.39,5.66,0.5092,5.48,5.46,413219,3,-3.19
3.4104,AAPL,161.44,165.8,0.8567,161.63,165.56,877752,9,4.25
-0.4979,IBM,126.01,128.39,0.8901,128.01,127.9,51365,1,6.94
4.6714,AMZN,98.73,102.56,0.9312,98.95,102.4,588378,1,4.69
2.2399,MSFT,283.17,289.9,0.602,283.59,289.84,443354,4,0.83
1.4069,CVNA,9.201,9.76,0.3162,9.27,9.37,23338,0,1.75
0.6873,SOFI,5.825,5.98,0.5437,5.91,5.86,91912,1,2.23
0.3813,JPM,126.84,129.035,0.7779,128.46,128.99,82724,12,5.21
0.294,NOC,469.78,476.065,0.3826,472.0,474.16,8038,0,-16.67
1.174,SONY,90.0,90.83,0.7734,90.1,90.49,2088,0,0.0
0.3435,INTC,31.65,32.4252,0.474,31.82,32.13,131233,1,4.48
2.6663,GOOGL,105.9,107.49,0.5101,105.84,107.43,160358,0,-1.99
1.7046,EA,126.58,128.72,0.4634,126.58,128.28,20703,0,6.67
2.9689,TSLA,180.94,186.5,0.6485,182.955,185.9,891316,2,1.06
2.9673,META,215.82,221.15,0.6771,215.73,220.35,512797,4,2.53
-0.2599,AMD,91.83,93.16,0.6105,92.79,92.09,456763,3,1.01
6.9683,ENPH,198.52,211.55,0.9909,200.01,209.69,37423,0,-4.82
