percentchange,low,high,relvolume,open,price,symbol,watchers,hourchange,sentiment
0.9119,264.36,270.06,0.5878,265.655,270.02,NVDA,421731,3,-1.49
0.6757,5.81,6.0,0.6655,5.89,5.96,SOFI,91919,7,0.1
0.7929,137.66,140.06,1.0164,139.95,139.83,JPM,82973,2,0.7
-2.049,88.3,90.69,0.7217,90.23,89.87,AMD,456847,3,-2.66
1.0033,8.68,9.2192,0.273,8.91,9.06,CVNA,23310,-4,-1.46
1.5625,5.1301,5.3,0.3666,5.24,5.2,AMC,413206,-2,-1.09
0.0121,164.03,165.39,0.5412,165.09,165.23,AAPL,878000,-2,2.07
-1.1874,217.13,220.979,0.4402,219.79,218.86,META,512920,20,0.43
-0.2497,126.8,128.72,0.5124,128.3,127.82,IBM,51378,0,-4.47
1.1027,182.7,189.69,0.6825,186.32,187.04,TSLA,891654,9,0.22
-2.6637,104.52,106.155,0.816,104.658,105.97,GOOGL,160520,6,-12.33
0.4698,471.38,477.68,0.4391,472.99,474.79,NOC,8041,0,8.33
0.7839,31.77,32.64,0.5168,31.95,32.14,INTC,131269,0,3.6
0.9296,286.2,291.58,0.6118,289.93,288.8,MSFT,443546,7,2.75
0.2244,101.59,103.73,0.5299,103.16,102.74,AMZN,588608,5,-0.47
0.3192,90.35,91.23,0.9083,90.55,91.15,SONY,2088,0,0.0
7.6687,214.7801,229.23,1.7249,215.0,224.92,ENPH,37473,6,3.43
0.1642,127.14,128.42,0.4493,127.37,128.08,EA,20707,0,-10.0
