open,low,percentchange,price,symbol,high,relvolume,watchers,hourchange,sentiment
285.99,284.54,0.0277,288.45,MSFT,289.05,0.4744,443663,6,5.5
225.06,222.3,-1.5798,224.27,ENPH,228.49,0.5032,37473,0,-0.61
179.1,177.65,-2.0183,180.59,TSLA,183.5,0.6315,892183,18,-5.55
5.9,5.87,1.6722,6.08,SOFI,6.1,0.4953,91960,1,1.93
31.1,31.0828,-2.1363,31.15,INTC,31.52,0.4343,131285,0,1.89
8.6,8.3,-1.9318,8.63,CVNA,8.84,0.2952,23286,0,-1.34
91.0,90.73,-0.3724,90.97,SONY,91.12,0.5063,2089,0,0.0
4.95,4.92,0.9901,5.1,AMC,5.17,0.3154,413188,0,-0.1
165.8,165.54,0.6968,167.63,AAPL,168.16,0.6395,878202,6,5.71
273.61,272.32,0.9542,279.31,NVDA,280.0,0.6812,421933,3,5.34
480.46,476.24,-0.5006,477.07,NOC,482.74,0.4242,8043,0,3.33
101.58,101.39,1.955,104.3,AMZN,105.12,0.8364,588753,0,2.42
88.51,88.22,0.1782,89.94,AMD,90.54,0.5543,456906,0,-0.08
103.58,103.07,-0.3062,104.18,GOOGL,104.98,0.4564,160564,1,0.04
126.5,125.3,-1.1426,126.32,IBM,126.98,0.9493,51454,0,-3.05
213.472,212.94,-1.0051,215.7,META,217.33,0.4728,512961,5,3.71
128.58,128.075,-0.6665,128.18,EA,128.9,0.3668,20704,0,10.0
141.23,140.41,-0.1273,141.22,JPM,141.5,0.5763,82988,2,0.49
