low,open,high,relvolume,symbol,percentchange,price,watchers,hourchange,sentiment
165.65,166.1,167.41,0.6295,AAPL,0.7505,166.47,878083,1,3.21
104.07,106.49,106.515,0.5757,GOOGL,-1.3872,104.5,160548,-2,-1.3
183.5887,187.15,187.69,0.5393,TSLA,-1.4596,184.31,891778,5,-0.77
8.76,9.22,9.285,0.2683,CVNA,-2.8698,8.8,23302,1,-3.04
216.215,219.91,220.44,0.3488,META,-0.4432,217.89,512939,-1,-0.63
139.03,140.27,141.775,0.8356,JPM,1.1228,141.4,82991,3,-0.05
127.82,128.81,129.38,0.5166,EA,0.7495,129.04,20704,-1,0.0
101.52,103.95,104.2,0.555,AMZN,-0.4283,102.3,588649,2,0.89
287.02,291.57,291.6,0.5165,MSFT,-0.1489,288.37,443612,8,3.43
222.23,225.43,231.31,0.8254,ENPH,1.3116,227.87,37487,-2,-1.75
475.77,475.74,483.31,0.6483,NOC,0.9857,479.47,8043,1,-12.5
127.35,128.14,128.68,0.4769,IBM,-0.0313,127.78,51381,1,-1.02
5.895,6.0,6.02,0.4567,SOFI,0.3356,5.98,91914,0,-0.8
90.995,91.57,91.86,0.8545,SONY,0.1755,91.31,2086,0,0.0
273.57,275.335,281.0802,1.1798,NVDA,2.4628,276.67,421847,6,-0.55
89.33,91.61,92.16,0.6994,AMD,-0.1001,89.78,456869,2,1.54
4.98,5.23,5.212,0.3403,AMC,-2.8846,5.05,413186,2,-2.37
31.785,32.43,32.46,0.4755,INTC,-0.9645,31.83,131272,-5,2.27
