symbol,price,high,percentchange,low,relvolume,open,watchers,hourchange,sentiment
GOOGL,104.18,104.98,-0.3062,103.07,0.4564,103.58,160559,1,-0.07
IBM,126.32,126.98,-1.1426,125.3,0.9493,126.5,51434,25,3.39
META,215.7,217.33,-1.0051,212.94,0.4728,213.472,512956,0,3.28
JPM,141.22,141.5,-0.1273,140.4,0.5763,141.23,82990,1,-0.34
SOFI,6.08,6.1,1.6722,5.87,0.4953,5.9,91973,10,1.25
EA,128.18,128.9,-0.6665,128.075,0.3668,128.58,20704,-1,10.0
TSLA,180.59,183.5,-2.0183,177.65,0.6315,179.1,892069,70,0.78
ENPH,224.27,228.49,-1.5798,222.3,0.5032,225.06,37475,0,-0.31
MSFT,288.45,289.05,0.0277,284.54,0.4744,285.99,443656,9,6.56
SONY,90.97,91.12,-0.3724,90.73,0.5063,91.0,2087,0,0.0
CVNA,8.63,8.8426,-1.9318,8.295,0.2952,8.6,23284,0,-2.91
AAPL,167.63,168.16,0.6968,165.54,0.6395,165.8,878187,8,5.32
INTC,31.15,31.52,-2.1363,31.0828,0.4343,31.1,131281,0,0.99
AMC,5.1,5.17,0.9901,4.92,0.3154,4.95,413183,2,-1.19
NOC,477.07,482.7909,-0.5006,476.2,0.4242,480.46,8043,0,6.06
AMZN,104.3,105.12,1.955,101.39,0.8364,101.58,588751,6,2.51
NVDA,279.31,280.0,0.9542,272.32,0.6812,273.61,421923,5,4.27
AMD,89.94,90.54,0.1782,88.22,0.5543,88.51,456906,10,0.69
