open,percentchange,low,price,high,relvolume,symbol,watchers,hourchange,sentiment
270.31,-1.5152,263.55,267.79,271.67,0.8619,NVDA,420200,-2,-1.14
8.18,-1.9162,7.95,8.19,8.47,0.2716,CVNA,23417,0,-0.45
99.18,-2.3235,96.74,97.95,99.52,1.0179,AMD,456184,0,-2.61
123.36,1.5563,122.88,125.29,125.4,0.6283,IBM,51329,2,-2.11
158.86,0.8306,157.85,160.25,160.34,0.6983,AAPL,876397,-6,-1.19
277.24,1.048,275.3,280.57,280.63,0.7429,MSFT,442258,0,0.35
445.08,2.4323,443.105,455.25,456.2,0.7919,NOC,8012,0,-10.23
118.08,2.5767,117.61,119.03,119.205,0.8715,EA,20720,0,0.0
5.675,-0.692,5.645,5.74,5.83,0.4643,SOFI,91708,1,-0.29
4.4,0.0,4.38,4.47,4.54,0.283,AMC,411927,-1,0.25
29.04,1.1368,28.93,29.36,29.81,1.0801,INTC,130869,2,-2.26
98.065,-0.5876,96.4,98.13,98.295,0.6949,AMZN,587053,0,-0.92
205.18,0.8469,203.55,206.01,207.574,0.7884,META,512051,0,2.97
191.65,-0.9416,187.15,190.41,192.36,0.6231,TSLA,889287,2,-1.2
104.99,-0.1515,103.84,105.44,105.49,0.6651,GOOGL,159720,0,-3.37
88.3,-0.8383,86.96,87.53,88.3,1.3895,SONY,2082,0,0.0
202.35,-4.2363,192.46,195.99,203.55,0.8771,ENPH,37276,1,4.64
125.63,-1.5216,123.11,124.91,125.68,1.496,JPM,82376,5,-0.01
