symbol,high,percentchange,relvolume,price,low,open,watchers,hourchange,sentiment
NOC,471.7399,0.0234,0.2997,469.3,465.19,468.73,8034,0,0.0
MSFT,290.4499,-0.3551,0.5684,286.21,285.88,287.23,442888,2,0.6
NVDA,280.0,-1.7593,0.5861,274.73,274.34,279.66,420921,10,2.45
META,216.24,0.4036,0.5023,213.93,212.54,213.39,512512,15,5.5
ENPH,203.2,-0.4072,0.3816,201.775,198.65,202.89,37367,0,0.85
TSLA,198.7446,-1.892,0.6413,191.085,190.32,197.32,890479,15,1.04
AAPL,166.83,-0.4062,0.4555,165.495,165.33,166.595,877179,7,2.74
IBM,132.13,-0.5755,0.3948,131.3,130.9,131.99,51355,0,0.0
JPM,130.57,-1.6441,0.5798,128.02,127.41,130.5,82528,1,3.09
EA,125.47,3.0161,0.8723,125.01,121.23,121.43,20707,0,0.0
GOOGL,105.58,0.206,0.4311,104.575,104.04,104.33,160040,0,4.33
AMZN,103.945,1.3963,0.4965,103.84,102.11,102.75,587774,10,1.89
AMD,97.27,-1.0874,0.541,95.51,95.48,97.038,456534,10,-1.22
SONY,91.145,-0.6515,0.6944,90.735,90.36,90.78,2087,0,0.0
INTC,33.84,0.3192,0.8884,32.995,32.91,32.85,131179,0,3.08
CVNA,9.72,0.3186,0.2996,9.3196,8.93,9.44,23344,-1,-3.89
SOFI,6.095,-2.7363,0.3969,5.865,5.835,6.1,91855,3,-0.78
AMC,4.45,-23.9726,2.2133,3.885,3.88,4.08,412828,10,-3.84
