low,relvolume,price,symbol,percentchange,open,high,watchers,hourchange,sentiment
447.07,0.3549,448.76,NOC,-0.1113,453.79,454.66,8009,0,0.0
269.53,0.7225,272.3584,MSFT,0.0472,274.88,274.95,441995,-4,0.37
253.82,0.8974,262.63,NVDA,1.4015,261.8,263.5,419531,11,-0.57
195.44,1.0166,207.5,ENPH,7.7866,196.93,208.825,37216,1,3.17
197.96,0.7833,201.575,META,1.9033,203.2,203.515,511803,4,1.16
188.04,0.7078,197.62,TSLA,7.8417,188.28,197.99,888949,7,-0.36
156.54,0.6789,158.99,AAPL,1.0102,157.32,159.1,876114,-2,1.16
130.19,0.9609,130.5409,JPM,2.6749,130.59,131.73,82252,5,0.19
125.66,0.396,126.21,IBM,0.2144,126.9,127.08,51324,1,3.26
113.11,0.5748,114.61,EA,0.9602,113.11,114.91,20731,0,25.0
101.22,0.7761,104.455,GOOGL,3.196,101.25,105.0996,159611,4,-0.94
98.0,0.6065,100.415,AMZN,2.7684,98.14,100.46,586851,1,0.46
93.64,1.2416,96.295,AMD,-0.532,97.0,99.46,455987,3,-1.5
88.71,0.5766,89.29,SONY,0.9839,89.08,89.29,2079,0,0.0
27.975,0.9159,28.495,INTC,-2.2805,29.0,29.165,130847,-1,-0.27
7.18,0.3062,7.715,CVNA,9.1231,7.19,8.09,23282,6,-0.63
5.3243,0.6123,5.575,SOFI,6.8008,5.35,5.58,91589,-3,-0.56
4.2115,0.3983,4.4,AMC,3.0445,4.33,4.445,411741,2,0.67
