relvolume,low,percentchange,open,symbol,high,price,watchers,hourchange,sentiment
0.6295,165.65,0.7505,166.1,AAPL,167.41,166.47,878090,9,3.5
0.5757,104.07,-1.3872,106.49,GOOGL,106.515,104.5,160551,0,-2.52
0.5393,183.5887,-1.4596,187.15,TSLA,187.69,184.31,891795,4,-0.7
0.2683,8.76,-2.8698,9.22,CVNA,9.285,8.8,23300,0,-3.54
0.3488,216.215,-0.4432,219.91,META,220.44,217.89,512946,0,0.79
0.8356,139.03,1.1228,140.27,JPM,141.78,141.4,82988,-1,-0.29
0.5166,127.82,0.7495,128.81,EA,129.38,129.04,20704,0,0.0
0.5165,287.02,-0.1489,291.57,MSFT,291.6,288.37,443622,4,3.1
0.555,101.52,-0.4283,103.95,AMZN,104.2,102.3,588653,3,1.28
0.8254,222.23,1.3116,225.43,ENPH,231.31,227.87,37486,0,-1.82
0.6483,475.74,0.9857,475.74,NOC,483.4,479.47,8043,0,-8.33
0.4769,127.35,-0.0313,128.14,IBM,128.68,127.78,51381,0,-1.19
0.4567,5.895,0.3356,6.0,SOFI,6.02,5.98,91917,-2,-0.76
0.8545,90.99,0.1755,91.57,SONY,91.86,91.31,2086,0,0.0
0.4755,31.785,-0.9645,32.43,INTC,32.46,31.83,131276,4,0.85
0.3403,4.98,-2.8846,5.23,AMC,5.212,5.05,413184,-4,-2.26
1.1798,273.57,2.4628,275.335,NVDA,281.0802,276.67,421850,3,-0.06
0.6994,89.33,-0.1001,91.61,AMD,92.16,89.78,456871,1,2.47
