relvolume,high,open,price,percentchange,low,symbol,watchers,hourchange,sentiment
0.7301,287.01,284.79,283.49,0.2334,281.96,MSFT,443296,-1,-1.09
0.4105,127.1812,126.28,126.13,0.3581,125.82,EA,20703,1,-16.67
0.6508,162.06,161.22,160.1,-0.4353,159.78,AAPL,877684,0,0.56
0.8136,94.995,94.97,92.33,-1.8079,91.74,AMD,456747,-3,5.51
0.827,5.74,5.62,5.34,-1.6575,5.34,AMC,413218,0,0.29
0.5844,10.32,9.79,9.24,-5.3279,8.79,CVNA,23329,0,6.11
0.4882,90.4,90.0,89.44,0.5961,89.29,SONY,2089,0,0.0
0.66,130.43,129.18,128.5,-0.0156,128.0603,JPM,82624,4,-2.61
0.8639,191.58,190.74,180.54,-3.346,180.31,TSLA,891227,6,-0.51
0.5478,216.84,214.835,214.0,0.0701,212.584,META,512766,4,-1.62
0.8408,274.63,273.7,264.95,-2.4808,264.4786,NVDA,421444,11,-0.08
0.7773,100.51,100.4,97.83,-2.0917,97.705,AMZN,588273,5,-0.7
0.4414,201.26,199.9,196.03,-0.4317,195.81,ENPH,37410,1,2.18
0.5099,106.75,106.58,104.64,-0.6739,104.34,GOOGL,160344,1,0.05
0.5877,32.89,32.77,32.02,-1.0201,31.96,INTC,131233,0,-6.94
0.6074,130.87,130.4,128.54,-1.4415,128.18,IBM,51369,1,-2.42
0.4255,474.7299,467.43,472.77,0.961,466.03,NOC,8038,0,3.33
0.9555,6.05,6.06,5.82,-2.5126,5.67,SOFI,91916,-1,-0.54
