high,symbol,low,percentchange,relvolume,open,price,watchers,hourchange,sentiment
98.75,AMD,95.94,1.2836,1.4973,96.66,97.84,455820,6,0.63
128.48,JPM,125.45,-3.7782,2.2173,128.38,125.81,82032,5,4.47
283.33,MSFT,276.3201,1.1694,1.7577,278.26,279.43,441736,7,-1.31
4.34,AMC,4.1078,-4.7836,0.6185,4.3,4.18,411730,-3,0.05
201.9,META,195.4304,-4.5479,1.116,200.56,195.61,511607,3,-0.68
5.54,SOFI,5.33,0.1835,0.6642,5.47,5.46,91547,3,5.25
114.0,EA,112.98,-0.1585,0.7406,113.65,113.35,20735,-1,-25.0
450.16,NOC,441.305,-1.4551,0.8804,449.81,443.6,7997,0,3.41
100.65,AMZN,97.455,-1.0896,0.8764,99.79,98.95,586543,2,2.66
102.835,GOOGL,100.1,1.2959,1.2376,100.26,101.62,159514,6,2.07
30.56,INTC,29.44,-1.226,1.0943,29.92,29.81,130791,1,-3.77
156.74,AAPL,154.28,-0.5454,0.9896,156.08,155.0,875799,8,4.9
87.47,SONY,86.18,0.1505,1.0052,87.25,86.52,2077,0,33.33
200.7,ENPH,181.55,-8.6822,1.684,200.7,183.64,37109,14,-3.31
263.99,NVDA,256.68,0.7204,1.3828,259.82,257.25,419179,7,2.88
7.9,CVNA,7.02,3.2389,0.4207,7.21,7.65,23308,1,1.08
124.52,IBM,122.93,-0.8099,2.0994,124.08,123.69,51322,0,1.4
186.21,TSLA,177.33,-2.1724,0.6722,184.515,180.13,888621,6,2.24
