high,relvolume,symbol,price,open,low,percentchange,watchers,hourchange,sentiment
477.68,0.2943,NOC,472.2175,472.99,471.38,-0.0746,8040,0,8.33
291.58,0.4743,MSFT,286.9393,289.93,286.2,0.2793,443539,1,1.32
269.225,0.44,NVDA,266.31,265.655,264.36,-0.4746,421723,6,-0.68
229.23,1.2653,ENPH,222.775,215.0,214.7801,6.6419,37460,0,4.11
220.979,0.3403,META,218.54,219.79,217.13,-1.3319,512898,2,0.25
189.69,0.5392,TSLA,184.525,186.32,182.7,-0.2568,891624,4,0.75
165.39,0.4047,AAPL,164.39,165.09,164.03,-0.4963,877998,10,1.2
140.06,0.7772,JPM,139.29,139.95,137.66,0.4037,82968,2,0.7
128.14,0.29,EA,128.06,127.37,127.14,0.1486,20706,0,-10.0
128.72,0.3443,IBM,126.9,128.3,126.8,-0.9677,51377,0,-3.45
106.0,0.6822,GOOGL,105.46,104.658,104.52,-3.1322,160510,7,-11.18
103.73,0.4273,AMZN,102.1,103.16,101.59,-0.4,588603,7,-1.74
91.01,0.6246,SONY,90.9,90.55,90.35,0.044,2088,0,0.0
90.69,0.5649,AMD,89.018,90.23,88.3,-2.9777,456840,7,-1.93
32.64,0.3704,INTC,31.895,31.95,31.77,0.0157,131266,2,3.52
9.2192,0.1988,CVNA,8.755,8.91,8.68,-2.3969,23313,-3,-0.75
5.96,0.5205,SOFI,5.91,5.89,5.81,-0.1689,91911,-6,0.1
5.3,0.2815,AMC,5.185,5.24,5.1301,1.2695,413210,-1,-1.04
