open,price,relvolume,percentchange,high,low,symbol,watchers,hourchange,sentiment
100.4,97.83,0.7773,-2.0917,100.51,97.705,AMZN,588258,4,-0.77
32.77,32.02,0.5877,-1.0201,32.89,31.96,INTC,131234,0,-6.8
6.06,5.82,0.9555,-2.5126,6.05,5.67,SOFI,91918,-1,-0.21
130.4,128.54,0.6074,-1.4415,130.87,128.18,IBM,51367,0,-2.42
467.43,472.77,0.4255,0.961,474.7299,466.03,NOC,8038,0,0.0
126.28,126.13,0.4105,0.3581,127.1812,125.82,EA,20702,0,-16.67
284.79,283.49,0.7301,0.2334,287.01,281.96,MSFT,443294,0,-1.47
94.97,92.33,0.8136,-1.8079,94.995,91.74,AMD,456745,-1,6.35
161.22,160.1,0.6508,-0.4353,162.06,159.78,AAPL,877684,7,0.82
9.79,9.24,0.5844,-5.3279,10.32,8.79,CVNA,23330,0,6.59
5.62,5.34,0.827,-1.6575,5.74,5.34,AMC,413213,2,0.38
90.0,89.44,0.4882,0.5961,90.4,89.29,SONY,2089,0,0.0
129.18,128.5,0.66,-0.0156,130.43,128.0603,JPM,82616,0,-0.52
190.74,180.54,0.8639,-3.346,191.58,180.31,TSLA,891217,7,-0.13
214.835,214.0,0.5478,0.0701,216.84,212.584,META,512758,1,-1.25
273.7,264.95,0.8408,-2.4808,274.63,264.4786,NVDA,421429,0,1.09
199.9,196.03,0.4414,-0.4317,201.26,195.81,ENPH,37409,0,1.68
106.58,104.64,0.5099,-0.6739,106.75,104.34,GOOGL,160343,4,-0.19
