open,low,percentchange,relvolume,high,price,symbol,watchers,hourchange,sentiment
470.55,468.765,-0.3353,0.3372,473.09,472.57,NOC,8041,0,13.33
91.82,90.5,-0.3692,0.5911,92.97,91.75,AMD,456768,3,-0.01
287.0,283.69,-1.2766,0.5743,288.48,286.14,MSFT,443396,2,-0.68
265.04,262.2,1.1148,0.7461,268.83,267.58,NVDA,421590,4,-1.09
9.47,8.68,-4.2689,0.3345,9.798,8.97,CVNA,23328,-2,-1.25
217.88,217.56,0.5174,0.6378,222.11,221.49,META,512850,14,0.74
128.46,127.31,0.1876,0.6373,129.84,128.14,IBM,51370,0,-6.94
102.07,101.11,0.1074,0.7199,103.2013,102.51,AMZN,588468,1,0.4
135.15,134.9001,7.551,3.0765,139.12,138.73,JPM,82930,8,6.88
106.89,106.88,1.3404,0.566,108.935,108.87,GOOGL,160404,1,-2.01
164.59,163.83,-0.2114,0.6406,166.32,165.21,AAPL,877852,4,1.29
127.98,127.45,-0.3196,0.4028,128.53,127.87,EA,20705,0,10.0
209.77,204.67,-0.3767,0.6939,214.57,208.9,ENPH,37423,0,-3.47
90.85,90.412,0.4089,0.8867,91.46,90.86,SONY,2088,0,0.0
183.95,182.01,-0.4841,0.5598,186.28,185.0,TSLA,891427,4,0.27
32.0,31.69,-0.747,0.4201,32.235,31.89,INTC,131240,1,-2.29
5.99,5.77,1.0239,0.6398,6.03,5.92,SOFI,91899,-4,-0.49
5.74,4.9,-6.2271,0.9005,5.75,5.12,AMC,413214,-3,-0.31
