low,relvolume,percentchange,symbol,price,open,high,watchers,hourchange,sentiment
125.3,0.9493,-1.1739,IBM,126.28,126.5,126.98,51405,2,1.02
212.94,0.4728,-1.051,META,215.6,213.472,217.33,512959,-1,2.41
8.3,0.2952,-1.875,CVNA,8.635,8.6,8.84,23285,0,-4.31
284.54,0.4744,0.0173,MSFT,288.42,285.99,289.05,443644,3,4.78
177.65,0.6315,-2.0726,TSLA,180.49,179.1,183.5,891974,16,0.13
140.41,0.5763,-0.1273,JPM,141.22,141.23,141.5,82989,0,-0.7
128.075,0.3668,-0.6858,EA,128.155,128.58,128.9,20704,0,10.0
90.73,0.5063,-0.3943,SONY,90.95,91.0,91.12,2086,0,0.0
5.87,0.4953,1.5886,SOFI,6.075,5.9,6.1,91947,0,0.91
165.54,0.6395,0.6728,AAPL,167.59,165.8,168.16,878176,7,3.04
222.3,0.5032,-1.5184,ENPH,224.41,225.06,228.49,37476,0,-0.26
31.0828,0.4343,-2.1049,INTC,31.16,31.1,31.52,131279,-4,-0.62
4.92,0.3154,0.9901,AMC,5.1,4.95,5.17,413183,2,-1.84
476.24,0.4242,-0.463,NOC,477.25,480.46,482.74,8043,0,7.5
88.22,0.5543,0.1782,AMD,89.94,88.51,90.54,456899,2,1.42
101.39,0.8364,1.9501,AMZN,104.295,101.58,105.12,588736,8,2.54
272.32,0.6812,0.9397,NVDA,279.27,273.61,280.0,421918,-3,2.29
103.07,0.4564,-0.2967,GOOGL,104.19,103.58,104.98,160556,2,-0.17
