low,percentchange,relvolume,symbol,price,high,open,watchers,hourchange,sentiment
276.3201,1.1694,1.7577,MSFT,279.43,283.33,278.26,441744,0,-1.37
195.4304,-4.5479,1.116,META,195.61,201.9,200.56,511611,2,-1.09
125.46,-3.7782,2.2173,JPM,125.81,128.45,128.38,82038,3,4.4
441.305,-1.4551,0.8804,NOC,443.6,450.16,449.81,7998,1,3.41
5.33,0.1835,0.6642,SOFI,5.46,5.54,5.47,91542,-2,5.23
97.455,-1.0896,0.8764,AMZN,98.95,100.65,99.79,586552,3,2.43
4.1078,-4.7836,0.6185,AMC,4.18,4.34,4.3,411722,-11,-0.12
112.98,-0.1585,0.7406,EA,113.35,114.0,113.65,20735,0,-25.0
100.1,1.2959,1.2376,GOOGL,101.62,102.835,100.26,159516,0,1.29
29.44,-1.226,1.0943,INTC,29.81,30.56,29.92,130795,1,-4.15
86.18,0.1505,1.0052,SONY,86.52,87.47,87.25,2077,0,33.33
154.28,-0.5454,0.9896,AAPL,155.0,156.74,156.08,875807,3,4.79
256.68,0.7204,1.3828,NVDA,257.25,263.99,259.82,419189,1,2.84
181.55,-8.6822,1.684,ENPH,183.64,200.7,200.7,37117,4,-3.02
7.02,3.2389,0.4207,CVNA,7.65,7.9,7.21,23308,0,0.37
95.94,1.2836,1.4973,AMD,97.84,98.75,96.66,455823,2,-0.53
177.33,-2.1724,0.6722,TSLA,180.13,186.21,184.515,888626,0,1.2
122.93,-0.8099,2.0994,IBM,123.69,124.52,124.08,51324,1,1.4
