relvolume,low,open,symbol,percentchange,price,high,watchers,hourchange,sentiment
0.4634,126.58,126.58,EA,1.7046,128.28,128.72,20702,-1,6.67
0.602,283.17,283.59,MSFT,2.2399,289.84,289.9,443355,1,1.18
0.7779,126.84,128.46,JPM,0.3813,128.99,129.035,82731,7,5.81
0.3826,469.78,472.0,NOC,0.294,474.16,476.065,8039,1,-16.67
0.3162,9.201,9.27,CVNA,1.4069,9.37,9.76,23339,1,1.75
0.5437,5.825,5.91,SOFI,0.6873,5.86,5.98,91912,0,2.23
0.474,31.65,31.82,INTC,0.3435,32.13,32.4252,131232,-1,5.8
0.5101,105.9,105.84,GOOGL,2.6663,107.43,107.49,160362,4,-1.99
0.7734,90.0,90.1,SONY,1.174,90.49,90.83,2088,0,0.0
0.6485,180.94,182.955,TSLA,2.9689,185.9,186.5,891319,3,1.13
0.6771,215.82,215.73,META,2.9673,220.35,221.15,512800,3,2.1
0.6105,91.83,92.79,AMD,-0.2599,92.09,93.16,456763,0,0.79
0.9909,198.52,200.01,ENPH,6.9683,209.69,211.55,37425,2,-4.82
0.6485,263.29,267.34,NVDA,-0.1208,264.63,268.869,421515,0,-2.67
0.5092,5.39,5.48,AMC,2.2472,5.46,5.66,413222,3,-3.08
0.8567,161.44,161.63,AAPL,3.4104,165.56,165.8,877758,6,4.18
0.8901,126.01,128.01,IBM,-0.4979,127.9,128.39,51366,1,6.94
0.9312,98.73,98.95,AMZN,4.6714,102.4,102.56,588382,4,4.54
