low,open,percentchange,price,high,symbol,relvolume,watchers,hourchange,sentiment
95.27,96.34,0.189,98.065,98.36,AMD,0.8317,456390,0,3.74
8.77,8.9,10.7022,9.775,9.78,CVNA,0.475,23376,15,2.91
197.23,197.53,6.2218,207.43,207.79,TSLA,0.9318,889867,8,7.79
162.13,162.44,1.5275,164.84,165.0,AAPL,0.7363,876833,2,4.63
118.985,119.38,1.1419,120.46,120.53,EA,0.6957,20709,0,-7.14
283.03,283.73,1.4786,288.25,288.81,MSFT,0.7248,442657,3,2.56
128.8514,129.66,1.1806,130.27,130.3,JPM,0.7219,82484,-3,-2.86
101.05,101.3,2.7604,103.675,103.89,GOOGL,0.6778,159926,-2,4.08
101.95,102.16,1.2108,103.235,103.42,AMZN,0.6381,587480,3,2.05
89.79,89.77,1.5116,90.66,90.92,SONY,1.4706,2084,1,0.0
271.05,271.4,1.5594,278.1,278.34,NVDA,0.7758,420630,3,4.13
129.42,129.47,1.4897,131.145,131.16,IBM,0.5809,51346,0,2.13
205.81,206.02,2.4943,210.39,212.12,ENPH,0.544,37334,2,-1.0
5.67,5.75,6.2063,6.075,6.17,SOFI,1.0566,91784,3,0.85
459.45,462.98,0.1475,461.66,463.4,NOC,0.4159,8026,0,0.0
206.77,207.24,2.0545,212.11,212.17,META,0.653,512329,-12,4.29
4.87,4.91,0.503,4.995,5.055,AMC,0.4763,412477,4,-0.06
31.74,31.8,1.8074,32.67,32.8998,INTC,1.0575,131096,4,0.0
