price,relvolume,symbol,low,percentchange,open,high,watchers,hourchange,sentiment
5.97,0.662,SOFI,5.86,1.0152,5.91,6.02,91911,-1,2.72
271.69,0.5674,NVDA,271.26,-1.4866,277.235,277.89,421370,7,1.17
213.85,0.4677,META,213.43,-0.4191,215.48,216.02,512721,1,-3.01
186.79,0.6665,TSLA,185.65,1.2357,186.69,189.19,891135,14,0.49
160.8,0.6091,AAPL,160.51,-0.7591,162.35,162.36,877596,11,-3.9
99.92,0.8239,AMZN,99.01,-2.2022,100.8,100.99,588171,5,-5.7
468.27,0.5013,NOC,467.525,-1.7354,476.12,476.12,8038,-1,13.33
128.52,0.6398,JPM,127.54,0.4926,128.3,128.94,82601,0,1.62
125.68,0.4521,EA,124.74,0.0478,125.13,126.25,20704,0,-13.64
9.76,0.7987,CVNA,9.6,4.8335,9.79,10.85,23334,0,12.36
282.83,0.7591,MSFT,281.64,-2.2668,285.75,285.87,443228,6,-2.0
5.43,0.9069,AMC,5.25,3.626,5.45,5.63,413162,2,4.6
196.88,0.3554,ENPH,193.14,0.5516,195.9,199.04,37408,0,-0.55
105.35,0.583,GOOGL,104.68,-1.0241,106.55,106.73,160321,6,-0.26
130.42,0.4743,IBM,130.18,-0.4655,130.58,131.105,51365,0,-0.43
88.91,0.5067,SONY,88.83,0.4519,89.24,89.49,2089,0,0.0
94.03,0.7947,AMD,92.7,-1.5186,96.06,96.065,456721,4,3.18
32.35,0.4705,INTC,32.32,-0.5228,32.66,33.11,131220,-1,-9.79
