open,high,symbol,relvolume,percentchange,price,low,watchers,hourchange,sentiment
127.37,128.42,EA,0.4493,0.1642,128.08,127.14,20704,-2,-10.0
265.655,270.06,NVDA,0.5878,0.9119,270.02,264.36,421747,7,-1.17
8.91,9.2192,CVNA,0.273,1.0033,9.06,8.68,23312,0,-1.03
5.24,5.3,AMC,0.3666,1.5625,5.2,5.1301,413211,-2,-1.77
90.23,90.69,AMD,0.7217,-2.049,89.87,88.3,456852,0,-2.94
5.89,6.0,SOFI,0.6655,0.6757,5.96,5.81,91921,1,0.21
219.79,220.979,META,0.4402,-1.1874,218.86,217.13,512927,3,0.34
139.95,140.06,JPM,1.0164,0.7929,139.83,137.66,82978,2,0.54
165.09,165.39,AAPL,0.5412,0.0121,165.23,164.03,878015,0,2.83
128.3,128.72,IBM,0.5124,-0.2497,127.82,126.8,51377,-1,-5.04
186.32,189.69,TSLA,0.6825,1.1027,187.04,182.7,891682,8,0.44
472.99,477.68,NOC,0.4391,0.4698,474.79,471.38,8041,0,6.35
104.658,106.155,GOOGL,0.816,-2.6637,105.97,104.52,160537,0,-11.86
31.95,32.64,INTC,0.5168,0.7839,32.14,31.77,131274,0,4.28
90.55,91.23,SONY,0.9083,0.3192,91.15,90.35,2088,0,0.0
289.93,291.58,MSFT,0.6118,0.9296,288.8,286.2,443563,4,2.73
215.0,229.23,ENPH,1.7249,7.6687,224.92,214.7801,37481,4,3.52
103.16,103.73,AMZN,0.5299,0.2244,102.74,101.59,588622,3,0.14
