price,percentchange,relvolume,high,symbol,low,open,watchers,hourchange,sentiment
472.86,-0.8825,0.3671,478.4,NOC,472.07,478.4,8043,-1,14.62
285.7,-0.9534,0.5429,289.03,MSFT,285.08,285.25,443677,0,1.1
271.025,-2.9662,0.7203,280.3,NVDA,270.34,276.71,421993,4,4.33
224.35,0.0357,0.4961,226.26,ENPH,219.31,220.5,37475,2,0.81
213.38,-1.0756,0.3911,216.75,META,213.07,213.48,512981,0,-0.52
165.995,-0.9754,0.6148,167.87,AAPL,165.56,166.09,878264,3,2.91
161.77,-10.4214,1.1902,169.55,TSLA,160.56,166.165,892406,26,-10.41
140.88,-0.2408,0.5044,141.4299,JPM,140.17,139.91,82976,0,0.34
128.63,0.3511,0.423,129.56,EA,128.15,128.28,20703,0,0.0
126.19,-0.1029,1.567,130.98,IBM,125.84,130.15,51491,0,-1.32
104.96,0.7487,0.5152,106.25,GOOGL,103.8684,103.91,160581,7,-1.86
103.595,-0.6759,0.7245,105.24,AMZN,103.21,103.53,588817,7,-0.15
91.315,0.3792,0.5872,92.275,SONY,90.915,90.97,2091,0,0.0
89.84,-0.1112,0.6623,91.575,AMD,88.75,88.825,456930,3,-1.3
30.835,-1.0112,0.4377,31.25,INTC,30.71,30.76,131297,-1,2.6
8.03,-6.9525,0.3291,8.51,CVNA,7.91,8.3,23283,1,-1.84
5.895,-3.0428,0.4511,6.045,SOFI,5.88,5.9,91960,0,0.55
4.975,-2.451,0.2144,5.02,AMC,4.89,5.0,413185,3,0.9
