symbol,open,price,relvolume,high,percentchange,low,watchers,hourchange,sentiment
JPM,141.23,141.22,0.5763,141.5,-0.1273,140.41,82990,1,-0.34
EA,128.58,128.18,0.3668,128.9,-0.6665,128.075,20704,-1,10.0
SONY,91.0,90.97,0.5063,91.12,-0.3724,90.73,2087,0,0.0
SOFI,5.9,6.08,0.4953,6.1,1.6722,5.87,91973,10,1.25
TSLA,179.1,180.59,0.6315,183.5,-2.0183,177.65,892069,70,0.78
MSFT,285.99,288.45,0.4744,289.05,0.0277,284.54,443656,9,6.56
CVNA,8.6,8.63,0.2952,8.84,-1.9318,8.3,23284,0,-2.91
ENPH,225.06,224.27,0.5032,228.49,-1.5798,222.3,37475,0,-0.31
AAPL,165.8,167.63,0.6395,168.16,0.6968,165.54,878187,8,5.32
INTC,31.1,31.15,0.4343,31.52,-2.1363,31.0828,131281,0,0.99
AMC,4.95,5.1,0.3154,5.17,0.9901,4.92,413183,2,-1.19
NOC,480.46,477.07,0.4242,482.74,-0.5006,476.24,8043,0,6.06
NVDA,273.61,279.31,0.6812,280.0,0.9542,272.32,421923,5,4.27
AMZN,101.58,104.3,0.8364,105.12,1.955,101.39,588751,6,2.51
AMD,88.51,89.94,0.5543,90.54,0.1782,88.22,456906,10,0.69
GOOGL,103.58,104.18,0.4564,104.98,-0.3062,103.07,160559,1,-0.07
IBM,126.5,126.32,0.9493,126.98,-1.1426,125.3,51434,25,3.39
META,213.472,215.7,0.4728,217.33,-1.0051,212.94,512956,0,3.28
