relvolume,percentchange,high,low,open,price,symbol,watchers,hourchange,sentiment
0.2137,-0.2179,462.27,457.94,459.38,458.0,NOC,8021,0,25.0
0.4113,1.4679,280.65,278.41,278.96,279.27,MSFT,442530,0,-1.71
0.5239,1.3366,270.6697,265.97,268.25,267.63,NVDA,420470,0,-1.37
0.3567,1.9633,205.28,202.54,203.56,204.62,META,512243,1,0.12
0.5346,5.1054,203.45,191.385,196.75,203.4,ENPH,37308,1,-0.62
0.5418,1.0809,195.28,189.44,193.13,191.235,TSLA,889638,9,0.48
0.4279,1.5414,160.46,159.35,159.37,160.08,AAPL,876718,11,-0.3
0.3061,0.0339,130.348,129.18,130.12,129.3838,IBM,51343,-1,0.76
0.5158,-0.031,130.22,128.72,130.1,128.84,JPM,82460,1,-0.93
0.2277,0.7795,118.97,118.08,118.08,118.94,EA,20708,-1,0.0
0.4398,0.1683,102.43,100.655,102.28,101.2,GOOGL,159836,0,4.31
0.455,2.5553,100.29,98.5801,98.69,99.7248,AMZN,587352,2,1.22
0.6211,0.8582,96.91,94.87,96.07,95.3715,AMD,456332,0,-0.21
0.6942,2.0392,87.65,86.74,86.93,87.57,SONY,2084,0,0.0
1.0906,6.5381,31.46,29.789,29.77,31.205,INTC,130911,8,7.05
0.1676,4.144,7.7701,7.37,7.47,7.665,CVNA,23365,1,-7.63
0.5144,3.1306,5.9199,5.65,5.69,5.765,SOFI,91762,2,-1.08
0.6647,-3.8835,5.2084,4.83,5.14,4.95,AMC,412480,-5,-0.59
