percentchange,symbol,relvolume,low,open,price,high,watchers,hourchange,sentiment
-0.4086,IBM,0.5487,129.1,130.16,129.18,131.47,51348,0,8.71
0.6757,TSLA,0.6092,194.42,195.58,195.19,197.328,889736,-2,5.7
-0.0755,EA,0.5217,118.85,120.0,119.1,120.05,20710,0,5.56
1.6615,SONY,1.4544,88.64,88.7,89.33,89.53,2082,1,0.0
1.2513,MSFT,0.6427,281.5,284.23,284.02,284.46,442596,3,2.12
-1.4,AMC,0.5325,4.87,5.11,4.93,5.16,412480,-10,0.95
12.1982,CVNA,0.5721,8.079,8.08,8.83,9.0,23364,-2,-5.37
1.5083,NVDA,0.6652,271.02,272.29,273.91,274.99,420566,1,5.05
0.5786,ENPH,0.6629,203.96,209.435,205.13,214.19,37321,2,-2.15
-0.2904,JPM,0.7826,127.65,129.95,128.765,130.12,82474,-1,2.99
0.9517,AAPL,0.5827,161.271,161.53,162.3,162.47,876782,7,5.16
1.2028,META,0.6432,202.85,203.38,207.82,208.09,512294,0,6.27
-0.572,GOOGL,0.6807,99.78,100.91,100.81,101.155,159881,0,3.75
-0.4348,SOFI,0.6344,5.62,5.87,5.725,5.93,91769,-6,-0.21
1.7608,INTC,1.4198,31.81,31.85,32.075,32.58,131051,-4,9.96
1.8628,AMD,0.8812,97.25,98.0,97.88,99.53,456364,0,-1.07
-0.1582,NOC,0.3938,458.615,460.46,460.84,462.865,8023,0,0.0
1.7057,AMZN,0.6777,101.01,101.55,101.96,103.04,587436,2,5.02
