relvolume,high,low,symbol,percentchange,price,open,watchers,hourchange,sentiment
1.059,33.84,32.85,INTC,0.6385,33.1,32.85,131184,2,2.41
0.702,130.59,127.41,JPM,-1.3368,128.42,130.5,82528,2,7.86
0.5431,166.83,165.11,AAPL,-0.325,165.63,166.595,877176,0,1.42
0.6652,290.4499,285.67,MSFT,-0.0174,287.18,287.23,442887,0,-0.36
0.3915,471.94,465.0,NOC,-0.2323,468.1,468.73,8034,0,0.0
0.6103,104.2,102.11,AMZN,1.5038,103.95,102.75,587802,4,2.28
0.5141,105.58,104.04,GOOGL,0.345,104.72,104.33,160050,4,3.96
2.4701,4.45,3.88,AMC,-23.4834,3.91,4.08,412843,4,-5.39
0.686,280.0,273.08,NVDA,-1.8309,274.53,279.66,420951,11,0.52
1.0756,125.47,121.23,EA,3.2056,125.24,121.43,20707,1,0.0
0.3434,9.72,8.93,CVNA,2.2605,9.5,9.44,23343,2,-2.4
0.5769,216.24,212.54,META,0.7744,214.72,213.39,512522,3,4.64
0.711,198.7446,190.32,TSLA,-1.1244,192.58,197.32,890499,0,0.4
0.5043,132.1499,130.89,IBM,-0.3483,131.6,131.99,51358,0,0.0
0.6455,97.27,95.21,AMD,-0.7146,95.87,97.038,456543,1,-2.02
0.9783,91.145,90.36,SONY,-0.3504,91.01,90.78,2087,0,0.0
0.4624,203.2,198.65,ENPH,-0.0296,202.54,202.89,37368,-1,0.49
0.4678,6.095,5.835,SOFI,-2.3217,5.89,6.1,91854,0,-0.56
