open,relvolume,high,price,symbol,low,percentchange,watchers,hourchange,sentiment
125.24,0.7325,126.27,126.15,EA,124.85,0.7266,20707,1,7.94
103.91,0.5813,103.91,101.1,AMZN,100.7506,-2.7417,587879,1,-0.76
164.74,0.6702,165.05,163.76,AAPL,161.8,-1.129,877261,-3,-9.1
94.35,0.7872,94.5,92.56,AMD,91.36,-3.4526,456583,3,-1.27
467.22,0.5536,473.6,470.91,NOC,467.22,0.6003,8036,0,0.0
9.38,0.3189,9.38,8.5,CVNA,8.39,-10.5263,23329,0,-2.49
268.29,0.9568,269.98,268.81,NVDA,263.95,-2.0836,421067,4,-3.52
214.15,0.5446,215.19,211.48,META,209.95,-1.5089,512558,4,-4.65
4.07,0.7224,4.09,4.05,AMC,3.94,3.5806,412901,2,-0.22
285.85,0.5843,287.145,284.34,MSFT,282.95,-0.9889,442957,5,-3.07
126.8,0.609,128.15,127.61,JPM,126.46,0.1491,82526,0,-1.72
190.515,0.7518,190.68,185.52,TSLA,183.76,-3.666,890629,5,-1.55
89.9,0.7198,90.02,89.65,SONY,89.5312,-1.4943,2087,0,0.0
131.37,0.4187,132.61,132.14,IBM,131.37,0.4103,51362,-3,0.0
5.87,0.786,5.87,5.74,SOFI,5.5801,-2.5467,91880,2,0.2
105.78,0.6109,106.1,104.47,GOOGL,103.66,-0.2387,160107,0,0.53
32.795,0.7132,32.985,32.83,INTC,32.335,-0.8157,131192,1,-1.67
200.0,0.8384,201.62,193.67,ENPH,187.73,-4.3794,37387,2,-0.02
