price,symbol,low,high,open,percentchange,relvolume,watchers,hourchange,sentiment
30.3,INTC,30.225,30.79,30.84,-1.8146,0.5032,131286,2,-0.42
140.54,JPM,138.78,141.11,139.74,-0.1917,0.6957,82974,0,-3.43
285.76,MSFT,283.0608,286.26,285.01,-0.1223,0.5756,443721,3,-1.27
129.11,EA,128.695,130.12,129.05,0.2407,0.504,20702,0,10.0
271.19,NVDA,267.2301,271.83,269.52,0.0553,0.644,422037,0,1.72
125.73,IBM,125.27,126.69,126.0,-0.4986,1.0535,51487,0,0.74
212.89,META,209.76,213.41,210.21,-0.0845,0.5292,513002,0,0.61
88.43,AMD,88.055,89.72,89.8,-1.8644,0.6306,456942,0,1.61
106.96,AMZN,105.08,108.15,106.1,3.0344,1.2806,588936,12,0.78
165.02,AAPL,164.5,166.45,165.05,-0.9781,0.7882,12,-3,-1.21
165.08,TSLA,161.33,166.0,164.8,1.2823,0.7409,892738,6,0.93
92.05,SONY,91.61,92.38,91.87,0.7332,0.7484,2089,0,0.0
8.14,CVNA,7.735,8.29,7.97,1.75,0.2397,23257,0,-1.24
223.61,ENPH,219.9,226.77,223.75,-0.5249,0.5057,37487,0,2.04
105.41,GOOGL,104.79,106.0,105.47,0.114,0.5543,160607,2,-0.36
5.94,SOFI,5.85,5.99,5.9,0.3378,0.4494,91960,0,0.0
471.99,NOC,468.84,474.875,475.72,-0.4618,0.6011,8044,0,1.43
4.99,AMC,4.91,5.07,4.94,0.4024,0.3518,413185,1,0.07
