percentchange,price,low,relvolume,open,symbol,high,watchers,hourchange,sentiment
-0.1917,140.54,138.78,0.6957,139.74,JPM,141.11,82968,-1,-3.86
-1.8146,30.3,30.225,0.5032,30.84,INTC,30.79,131265,0,-2.0
0.2407,129.11,128.695,0.504,129.05,EA,130.12,20700,0,25.0
-0.4986,125.73,125.27,1.0535,126.0,IBM,126.69,51479,0,1.87
0.0553,271.19,267.2301,0.644,269.52,NVDA,271.83,422025,3,0.86
-0.9781,165.02,164.5,0.7882,165.05,AAPL,166.45,878262,0,-1.85
-0.1223,285.76,283.0608,0.5756,285.01,MSFT,286.26,443707,2,-2.57
-0.0845,212.89,209.76,0.5292,210.21,META,213.41,512985,4,-1.82
3.0344,106.96,105.08,1.2806,106.1,AMZN,108.15,588928,7,-0.26
-1.8644,88.43,88.055,0.6306,89.8,AMD,89.72,456922,0,-0.17
1.75,8.14,7.735,0.2397,7.97,CVNA,8.29,23240,0,0.73
1.2823,165.08,161.33,0.7409,164.8,TSLA,166.0,892727,0,1.13
0.114,105.41,104.79,0.5543,105.47,GOOGL,106.0,160605,3,-1.92
0.7332,92.05,91.61,0.7484,91.87,SONY,92.38,2083,-6,0.0
-0.5249,223.61,219.9,0.5057,223.75,ENPH,226.77,37486,-1,2.04
0.3378,5.94,5.85,0.4494,5.9,SOFI,5.99,91955,0,0.23
-0.4618,471.99,468.84,0.6011,475.72,NOC,474.875,8043,0,7.14
0.4024,4.99,4.91,0.3518,4.94,AMC,5.07,413110,-4,0.94
