symbol,price,high,low,open,percentchange,relvolume,watchers,hourchange,sentiment
NVDA,267.79,271.67,263.55,270.31,-1.5152,0.8619,420200,-2,-1.14
CVNA,8.19,8.47,7.95,8.18,-1.9162,0.2716,23417,0,-0.45
AMD,97.95,99.52,96.74,99.18,-2.3235,1.0179,456184,0,-2.61
IBM,125.29,125.4,122.88,123.36,1.5563,0.6283,51329,2,-2.11
AAPL,160.25,160.34,157.85,158.86,0.8306,0.6983,876397,-6,-1.19
MSFT,280.57,280.63,275.3,277.24,1.048,0.7429,442258,0,0.35
NOC,455.25,456.2,443.105,445.08,2.4323,0.7919,8012,0,-10.23
EA,119.03,119.205,117.61,118.08,2.5767,0.8715,20720,0,0.0
SOFI,5.74,5.83,5.645,5.675,-0.692,0.4643,91708,1,-0.29
AMC,4.47,4.54,4.38,4.4,0.0,0.283,411927,-1,0.25
INTC,29.36,29.81,28.93,29.04,1.1368,1.0801,130869,2,-2.26
AMZN,98.13,98.295,96.4,98.065,-0.5876,0.6949,587053,0,-0.92
META,206.01,207.574,203.55,205.18,0.8469,0.7884,512051,0,2.97
TSLA,190.41,192.36,187.15,191.65,-0.9416,0.6231,889287,2,-1.2
GOOGL,105.44,105.49,103.84,104.99,-0.1515,0.6651,159720,0,-3.37
SONY,87.53,88.3,86.96,88.3,-0.8383,1.3895,2082,0,0.0
ENPH,195.99,203.55,192.46,202.35,-4.2363,0.8771,37276,1,4.64
JPM,124.91,125.68,123.11,125.63,-1.5216,1.496,82376,5,-0.01
