high,price,percentchange,open,low,relvolume,symbol,watchers,hourchange,sentiment
289.9,289.84,2.2399,283.59,283.17,0.602,MSFT,443350,6,0.76
5.98,5.86,0.6873,5.91,5.825,0.5437,SOFI,91912,0,1.34
129.035,128.99,0.3813,128.46,126.84,0.7779,JPM,82707,18,0.73
476.065,474.16,0.294,472.0,469.78,0.3826,NOC,8038,1,-8.57
32.4252,32.13,0.3435,31.82,31.65,0.474,INTC,131232,1,4.5
107.49,107.43,2.6663,105.84,105.9,0.5101,GOOGL,160358,-6,-0.58
128.72,128.28,1.7046,126.58,126.58,0.4634,EA,20703,0,6.67
186.5,185.9,2.9689,182.955,180.94,0.6485,TSLA,891320,0,0.9
221.15,220.35,2.9673,215.73,215.82,0.6771,META,512793,2,3.03
90.83,90.49,1.174,90.1,90.0,0.7734,SONY,2088,0,0.0
93.16,92.09,-0.2599,92.79,91.83,0.6105,AMD,456761,-1,1.56
211.55,209.69,6.9683,200.01,198.52,0.9909,ENPH,37419,3,-4.18
5.66,5.46,2.2472,5.48,5.39,0.5092,AMC,413218,1,-3.14
165.8,165.56,3.4104,161.63,161.44,0.8567,AAPL,877749,11,3.98
268.869,264.63,-0.1208,267.34,263.29,0.6485,NVDA,421506,12,-2.84
128.39,127.9,-0.4979,128.01,126.01,0.8901,IBM,51363,0,6.57
102.56,102.4,4.6714,98.95,98.73,0.9312,AMZN,588377,3,5.01
9.76,9.37,1.4069,9.27,9.201,0.3162,CVNA,23333,-1,0.35
