relvolume,symbol,open,percentchange,high,low,price,watchers,hourchange,sentiment
0.7903,AMD,91.32,3.2551,95.79,91.02,95.48,456699,3,9.14
0.5343,SOFI,5.69,2.7826,5.92,5.66,5.91,91909,2,1.07
0.7128,NVDA,268.23,2.0047,276.2099,266.69,275.79,421311,-5,2.19
0.6369,AAPL,161.42,-1.5972,162.03,160.08,162.03,877529,0,-4.02
0.5624,JPM,126.54,0.3295,128.23,126.22,127.89,82595,4,-2.49
0.6059,GOOGL,106.98,-1.8262,107.59,105.12,106.44,160301,2,0.22
0.4657,SONY,87.76,0.3856,88.52,87.73,88.51,2088,0,0.0
0.4571,META,214.71,-0.6247,215.66,210.66,214.75,512691,1,-1.4
0.4854,INTC,32.6,-0.8839,32.76,32.2,32.52,131212,1,-1.27
0.3262,CVNA,9.0,3.3296,9.35,8.62,9.31,23315,0,3.53
0.3796,IBM,129.83,0.4061,131.08,129.24,131.03,51364,0,-1.29
0.8207,TSLA,179.94,-0.2972,185.0994,176.11,184.51,891045,2,-0.17
0.6369,MSFT,289.208,-0.7579,289.6,284.72,289.39,443170,6,-1.93
0.3892,EA,124.79,0.3675,125.8,123.74,125.62,20703,0,4.44
0.5167,AMZN,100.96,0.1078,102.2,99.57,102.17,588100,2,-0.86
0.4136,ENPH,189.09,2.5131,195.9,188.51,195.8,37407,0,-1.76
1.2692,AMC,4.77,6.9388,5.37,4.74,5.24,413136,-2,0.88
0.4565,NOC,470.98,1.3074,478.17,470.98,476.54,8041,0,-16.67
