high,symbol,low,open,relvolume,percentchange,price,watchers,hourchange,sentiment
459.96,NOC,455.23,459.09,0.2586,0.9006,459.35,8013,0,0.0
281.4589,MSFT,275.52,280.5,0.5378,-1.4453,276.515,442425,5,0.38
269.94,NVDA,263.6501,268.37,0.5594,-0.4724,266.525,420365,2,-1.03
205.86,META,201.37,204.81,0.3939,-1.2427,203.45,512182,6,-0.28
200.21,ENPH,191.61,199.36,0.4727,0.5715,197.11,37293,0,0.27
197.39,TSLA,189.94,194.415,0.5466,1.4075,193.09,889468,5,-0.37
160.77,AAPL,157.87,159.94,0.4717,-0.8924,158.82,876585,0,0.28
130.17,IBM,126.47,126.47,0.7269,3.895,130.17,51335,0,2.27
129.31,JPM,126.29,126.79,0.9603,3.4905,129.27,82429,5,-3.66
119.4,EA,118.14,118.9,0.3791,0.21,119.28,20718,0,0.0
104.76,GOOGL,101.9273,104.615,0.5091,-2.1292,103.195,159784,1,-0.41
99.335,AMZN,97.08,99.07,0.4695,0.3567,98.48,587193,-1,-0.93
98.93,AMD,95.425,98.02,0.7208,-0.6533,97.3101,456271,5,-1.6
87.38,SONY,86.33,87.12,0.805,-0.8112,86.82,2081,0,0.0
29.73,INTC,29.08,29.37,0.4666,0.7323,29.575,130888,0,1.01
8.3686,CVNA,7.57,8.35,0.2151,-4.9451,7.785,23422,-4,-0.56
5.88,SOFI,5.73,5.82,0.4373,1.5679,5.83,91735,2,0.02
4.505,AMC,4.3,4.51,0.3543,0.3356,4.485,411968,-2,-0.2
