symbol,price,open,percentchange,low,relvolume,high,watchers,hourchange,sentiment
NOC,472.23,478.4,-1.0145,472.16,0.2965,478.4,8044,0,13.33
MSFT,286.3399,285.25,-0.7315,285.15,0.4489,289.03,443677,1,1.26
NVDA,273.79,276.71,-1.9763,273.53,0.5681,280.3,421989,3,4.92
ENPH,223.97,220.5,-0.1338,219.31,0.4272,226.26,37473,-1,0.5
META,214.61,213.48,-0.5053,213.07,0.3222,216.75,512981,-1,0.61
AAPL,166.525,166.09,-0.6592,165.91,0.4939,167.87,878261,0,3.26
TSLA,162.2503,166.165,-10.1554,161.85,1.0553,169.55,892380,6,-9.97
JPM,140.9,139.91,-0.2266,140.17,0.4095,141.4299,82976,-3,0.28
EA,128.635,128.28,0.355,128.15,0.3675,129.56,20703,0,0.0
IBM,126.44,130.15,0.095,125.84,1.424,130.98,51491,1,-1.45
GOOGL,105.22,103.91,0.9983,103.8684,0.4213,106.25,160574,0,-1.58
AMZN,103.62,103.53,-0.652,103.38,0.6169,105.24,588810,5,0.15
SONY,91.68,90.97,0.7805,90.915,0.5122,92.275,2091,1,0.0
AMD,90.23,88.825,0.3224,88.75,0.5553,91.575,456927,-4,-0.69
INTC,30.925,30.76,-0.7223,30.71,0.3705,31.25,131298,0,0.64
CVNA,8.06,8.3,-6.6049,7.94,0.2883,8.51,23282,-1,0.23
SOFI,5.905,5.9,-2.8783,5.9,0.3747,6.045,91960,-1,0.97
AMC,4.965,5.0,-2.6471,4.89,0.1896,5.02,413182,-6,0.79
