relvolume,price,open,symbol,low,percentchange,high,watchers,hourchange,sentiment
0.2305,460.15,462.98,NOC,459.9,-0.1801,463.4,8026,0,0.0
0.5158,286.85,283.73,MSFT,283.03,0.9857,287.1769,442653,11,3.21
0.618,276.48,271.4,NVDA,271.05,0.9678,278.34,420625,17,5.53
0.5053,210.17,207.24,META,206.77,1.1211,210.54,512341,11,6.72
0.4218,208.65,206.02,ENPH,205.81,1.6466,212.12,37334,0,-0.22
0.7836,207.212,197.53,TSLA,197.23,6.1102,207.4,889848,22,8.42
0.4678,164.155,162.44,AAPL,162.13,1.1056,164.235,876824,9,5.37
0.3168,130.52,129.47,IBM,129.42,1.006,130.535,51346,0,-0.09
0.5075,129.6,129.66,JPM,128.8514,0.6602,130.01,82488,1,-0.83
0.4584,119.91,119.38,EA,118.985,0.6801,119.985,20709,0,-12.5
0.4575,102.875,101.3,GOOGL,101.05,1.9675,103.25,159928,5,4.67
0.4705,102.83,102.16,AMZN,101.95,0.8137,103.29,587477,9,2.16
0.6708,97.65,96.34,AMD,95.27,-0.235,97.975,456396,4,3.59
1.1342,90.46,89.77,SONY,89.79,1.2876,90.88,2083,1,0.0
0.7864,32.63,31.8,INTC,31.74,1.6828,32.8998,131091,5,-0.02
0.3715,9.48,8.9,CVNA,8.77,7.3613,9.49,23358,0,3.0
0.8989,6.055,5.75,SOFI,5.67,5.8566,6.17,91781,1,0.98
0.3564,5.0,4.91,AMC,4.87,0.6036,5.055,412473,3,-0.05
